private_cofinancing,project_name,lat,description,beneficiary_name,public_cofinancing,long,fund,eu_amount,address,duration
,Inrichting publieke ruimte Kloosterkwartier Sittard,50.9984972,"Met de inrichting van de publieke ruimte Kloosterkwartier Sittard wordt een bijdrage geleverd aan de versterking van het vestigingsklimaat van de gemeente Sittard-Geleen, door het creëren van een stedelijk topmilieu in Sittard middels de herbestemming van een substantieel deel van de oude historische binnenstad.
Het project beoogt een koppeling te leggen van een aantal initiatieven in het centrum, zodat een versterkend geheel ontstaat op het gebied van winkelen, wonen, recreëren, parkeren, onderwijs en cultuur. Hierdoor wordt een bijdrage geleverd aan de randvoorwaarde van de groei en versterking van de integrale gebiedsvisie A2 als onderdeel van de toptechnologische regio Zuid-Nederland.",Gemeente Sittard-Geleen,830000,5.8647132,EFRO,500000,6131 LB,Looptijd: van  4 april 2008 tot 15 februari 2012
,Groene Grondstoffen (INTERREG VLA-NED),51.5889023,"De afgelopen jaren is er een toenemende interesse voor nieuwe toepassingen van gewassen buiten enkel voedselproductie. Binnen het project is drie jaar onderzoek gedaan naar innovaties voor het gebruik van landbouwgewassen. Daarbij werd zowel gekeken naar de toepassingsmogelijkheden van de vezels van gewassen (vlas, hennep en miscanthus), als biobrandstoffen (koolzaad, miscanthus en deder) en andere specifieke stoffen van planten die gebruikt kunnen worden bij voedingsmiddelen, zoals broccoli, prei, ui, yaconen en stevia. Zo zijn er oogstmachines ontwikkeld om de oogst van vezelhennep mogelijk te maken, met het oog op toepassing van de vezels in grote bouwprojecten als bruggen en viaducten. Een demonstratieteelt heeft het gewas yacon onder de aandacht gebracht als potentiële zoetstofleverancier, naast het inmiddels bekende stevia. Nieuwe ketenvorming werd binnen het project gestimuleerd, zodat lokale bedrijven uit verschillende sectoren vanaf nu aan elkaar zijn gekoppeld en intensiever samenwerken. Het project is erin geslaagd delen van het bedrijfsleven in de grensregio ervan te overtuigen dat (afvalproducten van) groenten uiteenlopende innovatietoepassingen kunnen hebben die tot nu toe onbenut werden gelaten. Bijvoorbeeld stro van miscanthus bleek zowel een goede grondstof te zijn voor paddenstoelenteelt, als een nuttig onderdeel van constructieplaten. Bekijk een filmpje over het project.",Stichting ter exploitatie van Proefboerderij Rusthoeve,462382,3.8473139000000174,INTERREG,428043,Colijnsplaat,Looptijd: van  1 januari 2010 tot 31 maart 2013
699664,"Mest, door Brabantse technologie van afvalstof tot hoogwaardig exportproduct",51.3472618,,Reiling Sterksel B.V.,314487,5.6144592,EFRO,314485,6029 RL,Looptijd: van 17 juli 2008 tot 31 december 2011
,Utrecht Science Park,52.0849181,"Het Utrecht Science Park is gevestigd in De Uithof. Dit is een plek waar onderwijs, onderzoek en kennisintensieve bedrijven elkaar versterken. Het Utrecht Science Park creëert een klimaat waarin kennisuitwisseling, kennisvalorisatie en een lokale economie tot bloei kunnen komen. Zo worden wetenschappers en studenten op weg geholpen om hun eerste stappen te zetten naar het ondernemerschap. Onderzoeksresultaten met commerciële potentie worden door het Utrrecht Science Park omgezet in economische activiteiten. Verder is het Science Park de schakel tussen ondernemers die willen samenwerken met kenniscentra in de directe nabijheid of zich in het park willen vestigen. Voor bedrijven komt minimaal 4000 m2 bedrijfsruimte beschikbaar. De gemeente Utrecht werkt bovendien aan een nieuwe ruimtelijke visie, waardoor, los van deze 4000 m2, extra bedrijfsruimte beschikbaar komt voor ondernemingen die zich in het Utrecht Science Park willen vestigen. Het Utrecht Science Park Utrecht wil uitgroeien tot het kloppende hart van een regionaal netwerk van hoogwaardige vestigingslocaties en projecten gericht op kennisintensieve bedrijven in de provincie Utrecht. Het netwerk en het Utrecht Science Park trekken innovatieve bedrijven aan en vormen een bakermat voor nieuwe kennisintensieve bedrijvigheid. Samenwerking tussen : de gemeente en provincie Utrecht, de Universiteit Utrecht, de Hogeschool Utrecht en het Universitair Medisch Centrum Utrecht.",Universiteit Utrecht,1600668,5.1738299,EFRO,839338,3584CS,Looptijd: van  1 juli 2008 tot 31 december 2014
813689,Nieuwe detectiemethoden voor coeliakie en coeliakie-inducerende gluten in voeding,51.9857286," 1. Het ontwikkelen van een snelle, niet-invasieve diagnostische toets voor coeliakie gebaseerd op glutenpeptiden en T-cellen die herkend worden, in perifeer bloed, speeksel of urinemonsters; 2. Het ontwikkelen van een kwantitatieve test (toolkit) van toxische gluten epitopen in voeding waarmee glutenvrije labelling van voedingsproducten beter onderbouwd kan worden.",DLO Plant Research International,400000,5.659513,EFRO,413689,6708PD,Looptijd: van  1 januari 2012 tot 31 augustus 2015
1405780,Go without Salt Nijmegen,51.819646336180234,"Het doel is hiermee op termijn een vermindering van ten minste 50% van het keukenzout in voedingsproducten te realiseren, zonder dat kwaliteit, veiligheid en vooral smaak inboeten. Het project ‘Go Without Salt’ zal bovendien extra werkgelegenheid opleveren in Oost-Nederland. De eerste resultaten worden vanaf 2015/2016 verwacht. Projectpartners: NIZO Food Research, TNO, Essensor, Ingredion, Euroma, Kraft Heinz.  ",H.J. Heinz B.V.,1255721,5.818447725408987,EFRO,755721,6534 AD,Looptijd: van  1 oktober 2011 tot 31 augustus 2015
503795,UNAS®,51.6278999,"UNAS® 
UNAS® is een technologie die met een minimale hoeveelheid energie rioolwater kan zuiveren en de waterkwaliteit verbeteren. Binnen het UNAS®-concept wordt gebruik gemaakt van anammox bacteriën. Deze zorgen voor efficiënte stikstofverwijdering, zelfs bij een normale buitentemperatuur. De bacteriën vragen minder zuurstof om stikstof te verwijderen in vergelijking met de conventionele bacteriën in de huidige huishoudelijke waterzuivering . Zo kan er worden bespaard op de energie die nodig is om deze zuurstof via lucht in het afvalwater te brengen. Bij conventionele waterzuiveringen wordt ruwweg 70% van het energieverbruik veroorzaakt door deze beluchting, via het UNAS-concept kan de beluchting tot 40% terug gedrongen worden.  
 

 
Resultaat
De UNAS®-technologie maakt het mogelijk dat een tweetrapsinstallatie zoals aanwezig in Nieuwveer straks omgebouwd kan worden tot een energie-neutrale of zelfs energie-leverende waterzuivering, de zogenoemde energiefabriek. Bij een retro-fit van de installatie met het UNAS-concept kan ook leiden tot een aanzienlijk compactere installatie. Op basis van de proefresultaten bekijken Colsen en SieTec (www.sietec.nl) of deze technologie in de toekomst op grotere schaal toegepast kan worden bij afvalwaterzuivering.
 
Het project is te bezichtigen bij Waterschap Brabantse Delta aan de Biezenstraat 7 te Breda.",Colsen Adviesburo voor Milieutechniek B.V.,27029,4.7063723,EFRO,251897,4823 ZJ,Looptijd: van 17 september 2013 tot 31 augustus 2015
,"Food Circle - ""Food for Healthy Ageing""",53.2390413,Het opzetten van een netwerkorganisatie die kennisontwikkeling en kennisbenutting in de voedingsmiddelensectorin het Noorden moet bevorderen.,TCNN,,6.5367678,EFRO,713562,9747 AA,Looptijd: van 24 maart 2009 tot 30 september 2014
,"FEE-U, Fonds Energietransitie EFRO Utrecht",,"Revolverend fonds pompt geld rond in innoverend MKB De gemeente Utrecht ondersteunt vanuit het programma ‘Utrechtse Energie!’ bedrijven en organisaties in de stad om slimme energiemaatregelen te treffen, waarbij de energietransitie voorop staat. Daarmee wordt gestimuleerd, dat er minder fossiele brandstoffen als gas, kolen en olie worden gebruikt en meer energiebronnen als onder meer zonne- en windenergie. Fee-U was als revolverend fonds opgezet om projecten te ondersteunen, die met hun specifiek innovatieve concepten de energietransitie omarmden en die hun financiering niet rond konden krijgen. Kansen voor West en de gemeente Utrecht droegen aan dit fonds bij. Een revolverend investeringsfonds wil zeggen, dat risicodragend kapitaal wordt verstrekt aan in dit geval MKB-bedrijven en samenwerkingsprojecten. Daarbij ging het om een lening, een garantstelling of participatie. Op enig moment vloeit dit geld weer terug in het fonds, waarna het in principe vrij besteedbaar is voor nieuwe projecten. In ieder gefinancierd project werd nooit meer dan 50% EFRO-geld geïnvesteerd van het totaal benodigde bedrag. Een van de gefinancierde projecten was een omvangrijke renovatie van een oude monumentale fabriek, waar innovatieve energiebesparende maatregelen werden uitgevoerd. Bij de meeste gehonoreerde projecten ging het om een lening. Een voorbeeld van participatie was het kopen van FEE-U aandelen om de verdere productontwikkeling mogelijk te maken van energiezuinige verwarmde terras- en kerkbankkussens.",Stichting Energie Transitie Utrecht,2500000,,EFRO,1250000,3533JR,Looptijd: van  1 januari 2013 tot 30 november 2016
455256,Innovatie door kenniscirculatie,53.1886866,"Dit project, dat wordt uitgevoerd door de Syntens, richt zich op het verder ontwikkelen en nuttig maken van een duurzaam kennisnetwerk voor het MKB in Noord Nederland en het stimuleren en faciliteren van het MKB in relatie tot pieken en speerpunten. Dit wordt mogelijk gemaakt door het neerzetten van een kennisinfrastructuur in Noord-Nederland, die kennisinstellingen en kennisinstituten in staat stelt een bijdrage te leveren aan het innovatieve vermogen van het MKB. Door verbeterde samenwerking tussen hogescholen, universiteiten, intermediaire organisaties en kennisinstituten moeten drempels worden geslecht om gemakkelijker toegang te krijgen tot kennis die het MKB kan gebruiken.",Syntens Groningen,675000,6.5465312,EFRO,675000,9728 BM,Looptijd: van  9 mei 2008 tot  1 augustus 2011
,STINAT,52.9856251,"Ofwel de subsidieregeling ‘toerisme natuurlijk Drenthe 2008-2010’. De subsidieregeling beoogt de Drentse toeristische sector een kwaliteitsslag te laten maken door subsidie te geven op projecten die gericht zijn op: verbeteren van de ruimtelijke inpassingen stimuleren duurzaamheid economische ontwikkelingen (innovaties, kwaliteitsverbetering,uitbreiding).",Provincie Drenthe,,6.5406725,EFRO,3000000,9405 BJ,Looptijd: van 15 april 2008 tot  1 juli 2014
,"Beleef de Berkel, Etalage naar de Toekomst",52.1744209, De projectactiviteiten betreffen voorbereidingswerkzaamheden en het aanleggen van brugverbindingen en fiets- en wandelvoorzieningen.,Gemeente Lochem,517851,6.4532473,EFRO,500000,7241,Looptijd: van  1 september 2011 tot 31 december 2013
,De rijdende Stoomtrein Sneek - Stavoren,53.1971399,"Het doel van het project is het mogelijk maken dat een stoomtrein gaat rijden tussen Sneek en Stavoren en dat dit gecombineerd kan worden met het reguliere treinvervoer.
 
Een rijdende (in tegenstelling tot een stilstaande) stoomtrein past goed in de behoefte van de consument (beleving, authenticiteit en edutainment), tevens verbindt de infrastructuur diverse kleinschalige attracties. Daarnaast draagt het project bij aan de realisatie van Stoomstad Sneek en aan de lange termijn doelstellingen van Sneek ten aanzien van kwaliteitsverbetering, seizoensverlenging- en intensivering en het bevorderen van samenwerking binnen de regio.
 
Het project betreft het aanleggen van de benodigde voorwaardenscheppende infrastructuur in zowel Sneek als Stavoren:
Aansluitwissel (aansluiting hoofdspoor);
Bijbehorend sein en bediening;
170 meter opstelspoor (om de stoomtrein van het hoofdspoor af te zetten).
FaillisementDe rechtbank Leeuwarden heeft op 9 november 2011 de Stichting Stoomtrein Fryslan failliet verklaard.De Friese Stoomtrein Maatschappij heeft de afgelopen jaren vol passie gewerkt aan het realiseren van deze stoomdroom. Er is volop geïnvesteerd in het realiseren van die droom. Investeringen die helaas niet terugverdiend konden worden door het uitstellen van de exploitatie.",Provincie Fryslân,3489513,5.7806816,EFRO,1000000,8912 AA,Looptijd: van  9 juni 2009 tot 31 december 2011
21634,AntiRoll energie efficiente stabiliteit op schepen,51.7012985,"Het doel van het project is om een stabiliteitssysteem te ontwikkelen voor de (internationale) scheepvaart, in eerste instantie voor zogenaamde superjachten (luxe zeewaardige jachten van meer dan 40 meter). Het ‘AntiRoll’ systeem is onderscheidend door het gebruik van twee verschillende assen, één voor het draaien van de vin (in varende condities) en één voor het flappen van de vin (nieuw en ook te gebruiken bij liggende condities), om de stabiliteitskrachten bij alle vaarsnelheden te verbeteren ten opzichte van bestaande systemen. Als gevolg hiervan kan een rechtere koers worden gevaren wat tot minder brandstofverbruik zal leiden.
 
De volgende activiteiten zijn als subsidiabel aangemerkt:
 
1. Ontwikkeling van de hoofdcomponenten:
Elektrisch systeem, Software control, Mechanisch systeem, Hydraulisch systeem, Classificatie en handleiding, Performance voorspellingsberekeningen, Berekeningssheets
2. Prototype ontwikkeling:
samenvoegen en doorontwikkeling van de onderdelen tot prototype incl. aansturingssysteem
3. Uitontwikkeling prototype:
testen prototype en doorvoeren aanpassingen op basis van de verkregen meetresultaten.",AntiRoll BV,105252,5.0610721,EFRO,50000,5145 PD,Looptijd: van  1 januari 2011 tot 30 september 2014
,EDGaR (GrASp),53.2138799,EDGaR is een nationaal consortium onder aanvoering van het Energy Delta Research Centre van de Rijksuniversiteit Groningen. Het bundelt de in Nederland aanwezige kennis en kunde op gasgebied om samen te werken aan een duurzame energietoekomst. EDGaR heeft de ambitie een internationaal centre of excellence te worden op het gebied van gas en duurzaamheid.,Stichting EDGaR,,6.5599465,EFRO,100000,9711 AG,Looptijd: van 25 april 2008 tot 30 juni 2015
1098005,SCOOP (Smart Chair/ Office Ontwikkelings Project),52.51502," Dit is een onderdeel van de uitwerking van het SmartOffice concept. De SmartOffice is het kantoor van de toekomst, waarin de toepassing van een hoge mate van automatisering de werkprocessen faciliteert en de efficiëntie verhoogt. Onderlinge communicatie van alle kantoorvoorzieningen en de rol van de werkende mens staan hierin centraal. In het concept van de SmartOffice vormt de SmartChair de verbinding tussen mens en kantooromgeving. Het is expliciet de bedoeling dat de SmartChair bijdraagt aan een hogere arbeidsproductiviteit en lagere arbeidsuitval, als gevolg van het verminderen en/of voorkomen van bureauwerk - gerelateerde aandoeningen.",BMA Ergonomics BV,543071,6.0495992,EFRO,543074,8042 PJ,Looptijd: van  1 januari 2009 tot 31 december 2012
1526668,BYBLOS Byproducts Business Lab  Open-Innovation Site,51.7534336,"Doelstelling van het project is het realiseren van de 1e fase van het BYBLOS cluster. In dit cluster werken bedrijven, onderzoeks- en onderwijsinstellingen samen rondom het thema “Verwaarden van dierlijke reststromen”. Voor toelevering aan Farma, Food en Feed sectoren is het opbouwen van kennis nodig rond o.a. inhoud reststoffen, winnings- en extractiemethoden, toepassingen voor componenten, verzamel en distributieprocessen en regelgeving. 
De volgende activiteiten zijn als subsidiabel aangemerkt:
Ontwikkeling van een masterplan waarin de organisatie, financiering en shared facilities van het cluster zijn uitgewerkt (incl. businessplan). Met aandacht voor: governance en triple helix vertegenwoordiging hierin, open innovatie concept, infrastructuur, regionale en (inter)nationale verankerling van het cluster.
Ontwikkeling en ingebruikname van het eerste ‘Fablab’, het Proteïne Applicatie Lab gericht op food design met gespecialiseerde onderzoeks- en testfaciliteiten.
Uitvoering van twee ‘showcase’ innovatieprojecten",Teeuwissen Groep,454284,5.8624151,EFRO,200000,5433 NE,Looptijd: van  1 januari 2011 tot  1 maart 2015
96574,Emerging Disease Campus,,"Emerging Disease Campus brengt wetenschappelijke kennis in praktijk Het Central Veterinary Institute (CVI) van Wageningen UR, vestiging Lelystad, is een internationaal gerenommeerd en erkend onderzoeksinstituut op het gebied van besmettelijke dierziekten. Een belangrijke doelstelling van het CVI is om publiek gefinancierd fundamenteel en toegepast onderzoek door te trekken naar daadwerkelijke product- en dienstontwikkeling. Dit is belangrijk, omdat op het vlak van gezondheid voor mens en dier de wereld voor een aantal nieuwe en grote uitdagingen staat, zoals de groeiende problematiek van antibioticaresistentie en het opkomen van exotische infectieziekten bij mens en dier. Het project Emerging Disease Campus (EDC) werd opgezet als dé plek waar ideeën ter bestrijding van (infectie)ziekten verder worden geholpen en waar de opgedane kennis en onderzoeksresultaten op de markt worden gebracht met behulp van nieuwe fondsen en business expertise. Dit zorgt voor extra regionale bedrijvigheid. Het CVI ontving subsidie vanuit Kansen voor West om binnen de EDC een samenhangend pakket aan activiteiten uit te voeren: het ontwikkelen van een valorisatiesysteem, het uitvoeren van twee onderzoeksprojecten waarop het valorisatiemodel kon worden toegepast en het opzetten van een Biobank. Dit is een gecentraliseerde opslag van preparaten op een dusdanig grote schaal, dat een goede infrastructuur is ontstaan voor biomedisch onderzoek door onder andere spin off bedrijven. 'Van valorisatie van kennis is sprake als de kennis niet alleen bruikbaar is voor eigen vakgenoten, maar ook voor andere belanghebbenden, of dat nu bedrijven, overheden of maatschappelijke organisaties zijn.' Samenwerking tussen : Centraal Veterinair Instituut, Stichting Dutch Collaborative Biobank (DCB) en de Ontwikkelingsmaatschappij Flevoland bv (OMFL).",Ontwikkelingsmaatschappij Flevoland B.V.,486607,,EFRO,388788,8233BR,Looptijd: van 15 juli 2011 tot 30 juni 2015
195000,Wateralliantie,,"De wateralliantie bouwt in Noord-Nederland aan een clusteromgeving waar (watertechnologie) bedrijven betere produkten/diensten sneller naar de markt kunnen brengen. De wateralliantie is een sterke en tegelijk slanke organisatiedie coordineert, verbindt en",N.V. NOM,4128648,,EFRO,517479,,Looptijd: van 11 juni 2009 tot  1 juli 2015
822740,Dutch Offshore Wind Energy Services DOWES,,"Het Dutch Offshore Wind Energy Services (DOWES) project richt zich op de ontwikkeling van een innovatief ICT systeem waarmee offshore windparken uit de regio Den Helder beheerd kunnen worden. Een hoge beschikbaarheid tegen minimale kosten. Deze ICT Service is in staat sensoren op de windturbine op afstand uit te lezen. Binnen het project wordt er gebruik gemaakt van de nieuwste kennis uit de markt, eigen kennis en kennisontwikkeling die samengebracht worden in een systeem. Het samenbrengen van deze kennis maakt het mogelijk om diverse manieren van onderhoud te verrichten aan de offshore windparken. De bedoeling van het project DOWES is de bewaking op afstand van offshore windparken, de juiste mensen op tijd informeren over de toestand ervan, zodat een kosteneffectieve keuze kan worden gemaakt voor de onderhoudswerkzaamheden. Op den duur zal de beheersbaarheid van offshore wind groter worden, de onderhoudskosten zullen omlaag gaan, de inzetbaarheid wordt groter en daarmee gaat de opbrengst duurzame energie omhoog en de emissies omlaag. Samenwerking tussen : Stichting Associatie Technologie Overdracht Noord-Holland, provincie Noord-Holland, ATO, ECN, TNO, AMC T&T en Peterson Offshore.",Associatie Technologie Overdracht Noord-Holla,1069275,,EFRO,974674,1786RD,Looptijd: van  1 juli 2008 tot 30 september 2014
1365628,SuperHR,51.9952079, Een doorlopende activiteit gedurende een groot deel van de looptijd van het project is het realiseren en beproeven van prototype oplossingen waar de markt behoefte aan heeft en die leiden tot substantiële energiebesparing en toepassing van duurzame warmte.,ATAG Verwarming Nederland BV,500000,6.5858545,EFRO,878586,7131 PE,Looptijd: van 13 juli 2013 tot 31 oktober 2015
,Landgoederen Amelisweerd en Rhijnauwen,52.0674466,"De landgoederen Oud- en Nieuw Amelisweerd en Rhijnauwen vormen het belangrijkste recreatiegebied voor de inwoners van Utrecht en omgeving. De drie landgoederen hebben als Rijksmonument een grote cultuurhistorische en ecologische waarde, met aangelegde tuinen die ruim 250 jaar oud zijn. Mede door de hoge gebruiksintensiteit ontstonden er knelpunten in het behoud van die waarden. Om de kwaliteit van de landgoederen – ook de recreatieve waarde – te behouden is een herstel- en verbeterplan uitgevoerd. Kansen voor West droeg daaraan bij. Dat gebeurde op basis van een opgestelde toekomstvisie voor de komende twee decennia, die de gemeente Utrecht ontwikkelde samen met de bewoners, ondernemers en gebruikers van de landgoederen. Naast de restauratie van de landhuistuinen en van drie parkbossen werden onder meer wandelpaden aangelegd en een fietsverbinding verbeterd. Daarmee ontstond een betere verbinding tussen de stad en de landgoederen. Ook werden aanpassingen aan de groen- en waterstructuren uitgevoerd. Bij elkaar hebben de diverse maatregelen ervoor gezorgd dat dit voor de regio zo waardevolle gebied de toekomst aan kan. De landgoederen trekken met onder meer een theehuis/pannenkoekenhuis, een bakkerij, een hostel, een speelweide, sportvelden en twee 18e-eeuwse moestuinen circa 1,5 miljoen bezoekers per jaar. Het museum Oud Amelisweerd, dat op het landgoed ligt, heeft onlangs een belangrijke Europese prijs gewonnen.",Gemeente Utrecht Dienst Stadsontwikkeling,1631000,5.169654600000058,EFRO,800000,3981 HD  Bunnik,Looptijd: van  1 september 2011 tot 31 mei 2015
2834626,Thermion,51.8718183,,GEM Waalsprong C.V.,,5.8603516,EFRO,150000,6663 MM,Looptijd: van  1 oktober 2011 tot 21 december 2012
1368647,Toepassing nanotechnologie (voor de machinebouw) in de voedingsmiddelenindustrie,52.5097719," Hiervoor wordt onderzoek gedaan naar een detailontwerp (apparatuur) in combinatie met een optimale nanocoatingstechniek, waarmee apparatuur in de voedingsmiddelenindustrie langer beschikbaar voor productie en beter reinigbaar is. De projectpartners zien kansen om hun kennis op het gebied van coating enerzijds en voedselbereidingshygiëne anderzijds te combineren. Als helder kan worden gemaakt hoe de voedselbereidingsapparatuur qua hygiëne kan worden verbeterd door bepaalde specifieke coatings, ontstaat een grote markt in de voedingsmiddelenindustrie. De apparatuur biedt dan ten opzichte van concurrenten een betere kwaliteit eindproduct, meer productie-uren, kortere reinigingstijd en verlaging van de aanvangsbesmetting van het eindproduct.",NanoServices B.V.,700000,6.124706,EFRO,630764,8025PB,Looptijd: van  1 januari 2012 tot 28 februari 2015
,Bezoekerscentrum Nationaal Park Maasduinen,51.5725791,"Bezoekerscentrum De Maasduinen: startpunt voor een dagje uitIn het hart van Nationaal Park De Maasduinen kunt u genieten van het net geopende Bezoekerscentrum De Maasduinen. Dit centrum is een ideaal start- en eindpunt voor diverse buitenactiviteiten. Lekker wandelen rondom het Reindersmeer of met de kinderen ravotten in het speelbos het kan hier allemaal. De tentoonstelling in het bezoekerscentrum vertelt u het verhaal over Nationaal Park De Maasduinen. Er zijn verrassende vondsten en kleurrijke foto’s die u laten ontdekken wat er buiten te beleven valt. Horeca en informatievoorziening zijn op een originele manier met elkaar gecombineerd. Zo zit u lekker wat te eten of een kop koffie te drinken terwijl u op de tafelbladen allemaal weetjes kunt vinden, zodat u buiten meer kunt ontdekken. Via een touchscreen kunt u zelf een wandel- of fietsroute selecteren en printen om meteen het uitgestrekte nationaal park in te gaan.
Nieuwe toekomst voor historische sluisHet bezoekerscentrum is gebouwd in het sluizencomplex. Het deed vroeger dienst als doorvoersluis voor zand- en grindwinningschepen. Van deze historische plek heeft Stichting het Limburgs Landschap gebruik gemaakt voor de bouw van het nieuwe Bezoekerscentrum De Maasduinen. Midden in de sluisbak ligt nu een prachtig milieuvriendelijk gebouw. In het Pomphuis aan de andere kant van de weg, worden regelmatig kinderactiviteiten georganiseerd. En als u durft kunt u zelf ervaren hoe het vroeger was om als boot in de sluisbak te liggen door via spannende trappen de diepe sluisbak in te gaan.
Uitje voor het gezinVoor jong en oud valt er veel te beleven bij Bezoekerscentrum De Maasduinen. Lekker lang wandelen rondom het Reindersmeer of een korte wandeling voor iedereen. In het Amfitheater worden regelmatig voorstellingen gegeven. Langs de familieroute staan speelobjecten zoals evenwichtsbalken en een waterspeelplaats.
SpeelbosIn de nabije omgeving van het bezoekerscentrum heeft de gemeente Bergen een groot speelbos gebouwd, geschikt voor kinderen tot 16 jaar. Lekker klimmen en ravotten over de boomstammen of kruipen door buizen om niet ontdekt te worden. Uw kinderen kunnen er spannende avonturen beleven.",Stichting Het Limburgs Landschap,,6.0835588,EFRO,,5855 EA,Looptijd: van  1 januari 2007 tot 31 december 2012
,YES!Delft2 met bio-facilities,,"Tweede incubator op campus TU Delft De Zuidvleugel van de Randstad heeft uitstekende papieren om uit te groeien tot een wereldwijd leidende regio op het gebied van technologische innovatie en kennisvalorisatie in de clusters Industriële Biotechnologie, Clean Technology en Medische Technologie. Succesvolle start-ups en spin-offs zijn daarbij van essentieel belang voor technische innovatie en kennisvalorisatie. Voor het stimuleren van start-ups richtten de TU Delft, de gemeente Delft en TNO in 2005 de incubator YES!Delft op (Young Entrepreneurs Society Delft) en werd een gebouw opgeleverd voor startende ondernemers. De aanpak van deze incubator was zo succesvol, dat in tien jaar tijd meer dan 160 start-ups zijn ondersteund die gezamenlijk meer dan &amp,euro, 300 miljoen aan investering hebben opgehaald en meer dan 1.000 banen hebben opgeleverd. Aangezien het gebouw nagenoeg vol zat werd besloten tot het bouwen van een tweede incubator, waaraan Kansen voor West heeft bijgedragen. Het pand YES!Delft2 staat op het TU Delft Science Park Technopolis naast het al bestaande pand van YES!Delft. Het is daarmee op de begane grond fysiek verbonden. In de nieuwbouw ligt de focus op het aantrekken van bedrijven uit binnen- en buitenland, die zich in de nabijheid van zowel de TU als het YES!Delft gebouw willen vestigen. Ook kunnen hier bedrijven uit het eerste gebouw verder doorgroeien, waardoor in het eerste gebouw weer ruimte ontstaat voor nieuwe startende bedrijven. Uniek is dat naast kantoorruimte YES!Delft2 ook laboratoriumruimte biedt, plus een 'shared facility lab' met laboratoriumvoorzieningen voor gemeenschappelijk gebruik.",TDVG,6945678,,EFRO,1600000,2600AP,Looptijd: van 20 december 2012 tot 31 december 2015
613218,EMuRgency (INTERREG EMR),,"In het project EMuRgency worden technologische ontwikkelingen, gecombineerd met het aanbieden van opleidingen, om in de regio de problematiek van een plotselinge hartstilstand te verbeteren door verkorte reactietijden van eerstehulpverleners. Daartoe ontwikkelen de partners een grensoverschrijdend alarmsysteem waarmee potentiële eerstehulpverleners in de omgeving gewaarschuwd worden.
Door het gebruik van openbare displays en door verdere maatregelen die dienen ter informatie aan een zo breed mogelijk publiek, wordt het bewustzijn over de problematiek en de noodzakelijke maatregelen verhoogd. Het aanbieden van opleidingen in scholen alsook de ontwikkeling van Smartphone-applicaties voor training en ondersteuning vullen het aanbod aan. De netwerken en doelgroepspecifieke aanbiedingen van alle potentiële belanghebbenden in het project, vormen de voorwaarde om het gebruik van de resultaten, ook na de looptijd van het project, zeker te stellen.
 
Andere Nederlandse partner in dit project:
- Maastricht University/ CAPHRI School for Public Health ans Primary Care (MUMC)
Universiteitssingel 40, NL-6229 EP Maastricht
Postbus 616, NL-6200 MD Maastricht
Contactpersoon:
De heer Guy Peeters (CEO MUMC+)
043/3876543","Grensoverschrijdend samenwerkingsverband met Nederlandse, Duitse en Belgische projectpartners. De leadpartner is: Open Universiteit Nederland",1152175,,INTERREG,1765393,,Looptijd: van  1 september 2011 tot 31 augustus 2014
1084459,Kustlaboratorium en coöperatief Broedhuis,50.7096477,"Kustlaboratorium
Het Kustlaboratorium combineert de nieuwste inzichten op het gebied van  kustveiligheid, duurzame aquacultuur, natuur en landschap. De integrale aanpak en de daarvoor benodigde samenwerking zijn hierbij cruciaal. In het  plan gaan landschap en ecologie gelijk op met economische ontwikkeling en kustveiligheid.
 
Broedhuis
Daarnaast wordt een experimenteel broedhuis ontwikkeld voor de productie van biologische uitgangsmaterialen (pootvis, schelpdierbroed, algenenten) ten behoeve van de doorkweek in deze zoutwaterpolder. Belangrijk onderdeel van het project is de uitvoering van een begeleidend R&amp;D-programma gericht op onder andere verbetering van uitgangsmaterialen, productiesystemen,- en technieken en ontwikkeling van innovatieve vormen van mechanisatie en monitoring. De opgedane kennis zal worden gebruikt ter versterking van de MKB-sector die gelieerd is aan de aquacultuur. Het moet leiden tot meer diversificatie van dienstverlening en de ontwikkeling van verschillende, zowel extensieve als ook meer intensieve vormen, van aquacultuur.",Stichting Het Zeeuwse Landschap,814709,5.5267686,EFRO,1266112,4450 AA,Looptijd: van  1 juli 2010 tot 31 december 2015
