project_title,beneficiary,start_date,end_date,eu_cofinancing_amount,total_amount,priority_axis,thematical_program,fund_acronym
Μηχανήματα και Εξοπλισμός,Τυπογραφείο-Λιθογραφείο Ι.Β. Φελλούκας & Υιοί Λτδ,2010,2010,89124,81253,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,J. MARI FURNITURES LTD,2010,2010,11405,11360,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,ΤΥΠΟΓΡΑΦΙΚΗ ΕΠΙΧΕΙΡΗΣΗ ΠΕΤΡΙΔΗ ΛΤΔ,2010,2010,70211,70211,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,Εργοστάσιο Επίπλων Α. Πολυκάρπου & Υιοί Λτδ,2010,2010,62394,62365,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,Αντώνης Σκαρή Λτδ,2010,2010,27627,14431,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,Δ.Μ.Φ. Α/φοι Κότερου (Σκυρόδεμα) Λτδ,2010,2010,68250,67375,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,"Ε.Κ.Μ & Μ.Κ. ο ""Αρχιμήδης"" Λτδ",2010,2010,49298,49079,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,ATELIE A. DEMETRIADES LTD,2010,2010,41888,41885,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,Γ. ΣΤΑΣΗΣ & ΥΙΟΙ ΛΤΔ,2010,2011,45699,41869,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,Α. ΕΥΑΓΓΕΛΙΔΗΣ & ΥΙΟΣ ΛΤΔ,2010,2010,33065,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,GLASS & MIRROR DEMETRIS IEROKIPIDES LTD,2010,2011,15150,15030,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,Κ.Α. Λαζούρας Ξυλουργικές Εργασίες Λτδ,2010,2011,54927,34739,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,Θ.Ε.Σ. (ΜΑΛΟΥΝΤΑ) ΕΠΙΠΛΩΣΕΙΣ & Ξυλουργικά Λτδ,2010,2011,29478,29208,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,A. C. TECHNOMETAL LTD,2010,2011,85755,82245,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,C. & G. Pressmania Printings Office Ltd,2010,2011,133954,119381,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,ΤΟΥΒΛΟΠΟΙΕΙΑ ΠΑΛΑΙΚΥΘΡΟΥ Ο ΓΙΓΑΣ ΛΤΔ,2010,2011,300000,300000,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,ΚΕΡΑΜΟΥΡΓΕΙΑ ΧΡΥΣΑΦΗΣ ΛΤΔ,2010,2012,136225,66883,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,A.A.S. ADVANCED AUTOMATION SYSTEMS LTD,2010,2011,254676,80798,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,Faraton Furnishing Ltd,2010,2011,78799,57043,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,ΜΕΤΑΛΛΙΚΑ ΗΡΑΚΛΗΣ ΜΙΧΑΗΛΙΔΗΣ ΛΤΔ,2010,2010,80405,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,METALCO (GLAZING) LTD,2010,2012,252230,196743,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,J.P.S. Eurobakers Ltd,2010,2011,141793,62256,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,PELETICO PLASTERS LTD,2010,2011,22267,5254,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,Υ.Κ. Mega Plast Ltd,2010,2011,83234,81990,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,P. Pierides & Sons Ltd,2010,2011,65781,64833,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,Chrysostomos Marangos Bakeries Ltd,2010,2011,98160,75992,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,Αντωνάκης Παντελή & Σια Λτδ,2010,2011,67148,66684,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,ΧΡΙΣΤΟΦΗΣ ΣΙΑΛΗ & ΥΙΟΣ ΛΤΔ,2010,2011,72240,71593,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,A. M. C. METECHNO LTD,2010,2011,62942,45178,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,ALION LENSES CO LTD,2010,2011,181784,136340,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,ΞΥΛΟΥΡΓΙΚΕΣ ΕΡΓΑΣΙΕΣ Π. ΒΑΣΙΛΕΙΟΥ ΛΤΔ,2009,2011,29490,14966,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,ΑΤ. & Α. FURNISHINGS LTD,2010,2011,51672,45861,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,Alex Metal Shelving Ltd,2010,2011,91203,65259,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,"ΑΡΤΟΠΩΛΕΙΟ & ΖΑΧΑΡΟΠΛΑΣΤΕΙΟ ""ΑΓΙΟΣ ΘΕΡΑΠΩΝ"" ΛΤΔ",2010,2011,18402,17838,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,IRRIPLAST TRADING LTD,2009,2012,34847,7753,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,GEORGE TOUMAZOU & SONS LTD,2009,2011,31993,23286,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,"ΑΝΔΡΕΑΣ Χ""ΑΝΤΩΝΙΟΥ & ΧΡΙΣΤΟΣ ΜΙΧΑΗΛ (ΣΥΝΑΙΤΕΡΙΣΜΟΣ)",2009,2011,8694,6966,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,N.T. THEODOROU METAL - PLASTICS LTD,2009,2012,26731,24041,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,ΝΤΙΝΟΣ ΠΟΥΠΑΣ ΛΤΔ,2009,2012,31972,27150,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,ΞΥΛΟΥΡΓΕΙΑ ΙΩΑΝΝΗ ΠΑΥΛΟΥ ΛΤΔ,2010,2010,33249,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,ΒΡΟΝΤΗ ΠΕΡΗ,2009,2012,39662,9400,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός - Αναβάθμιση Κτιριακών εγκαταστάσεων,G/RO,2009,2011,12147,5828,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,ΜΗΡΟΣ ΓΙΑΓΚΟΥ,2010,2011,57678,45748,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,Παγωτά Παπαφιλίππου & Πατισερί Παναγιώτης Λτδ,2010,2012,37477,29617,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,Chrysoplast Trading Ltd,2010,2011,66150,66150,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,Cyprometal Ltd,2010,2011,253257,249318,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,COMULTI PRINTFORMS LTD,2010,2012,245397,151755,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,METALCO (HEATERS) LTD,2010,2011,73839,51395,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,Elysse PVC Ltd,2010,2012,92196,81907,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,ΗΛΙΑΣ ΔΗΜΟΣΘΕΝΟΥΣ ΛΤΔ,2010,2012,129500,110320,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,Nikyr Products & Co Ltd,2010,2011,56643,39878,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,MCA Karalis Bros Ltd,2010,2012,15265,8162,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,Σωτήρης Βαλέρκος Επιπλώσεις Λτδ,2010,2012,92692,87875,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,Thamira Food Manufacturers Ltd,2010,2011,170992,107140,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
Μηχανήματα και Εξοπλισμός,PALENA BIO COSMETICS LTD,2010,2011,21636,7086,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 4: ΠΑΡΑΓΩΓΙΚΟ ΠΕΡΙΒΑΛΛΟΝ,ΑΠ 4 > ΕΣ 1 > Σχέδιο Χορηγιών για Ενίσχυση της Ανταγωνιστικότητας των ΜΜΕ του Μεταποιητικού Τομέα,ERDF
