organization,org_type,units,codes,distribution_type
OXFORDSHIRE COUNTY COUNCIL 115409,council,Oxfordshire,UKJ14,nuts3
Orkney Islands Council,council,Orkney Islands,UKM65,nuts3
Oxfordshire County Council,council,Oxfordshire,UKJ14,nuts3
SOMERSET COUNTY COUNCIL 107998,council,Somerset,UKK23,nuts3
SOUTH TYNESIDE COUNCIL 107989,council,Tyneside,UKC22,nuts3
STAFFORDSHIRE COUNTY COUNCIL 116188,council,Staffordshire CC,UKG24,nuts3
SUFFOLK COUNTY COUNCIL 108002,council,Suffolk,UKH14,nuts3
SURREY COUNTY COUNCIL 112269,council,Surrey,UKJ23,nuts3
Sefton Council,council,Sefton,UKD73,nuts3
Shetland Islands Council,council,Shetland Islands,UKM66,nuts3
Shropshire Council County Training,council,Shropshire CC,UKG22,nuts3
Shropshire County Council,council,Shropshire CC,UKG22,nuts3
Somerset County Council,council,Somerset,UKK23,nuts3
South Lanarkshire Council,council,South Lanarkshire,UKM38,nuts3
Staffordshire County Council,council,Staffordshire CC,UKG24,nuts3
Suffolk County Council,council,Suffolk,UKH14,nuts3
Suffolk county Council,council,Suffolk,UKH14,nuts3
THE NORTHUMBERLAND COUNCIL 112727,council,Northumberland,UKC21,nuts3
THE SHROPSHIRE COUNCIL 110136,council,Shropshire CC,UKG22,nuts3
THE WILTSHIRE COUNCIL 110145,council,Wiltshire,UKK15,nuts3
Telford & Wrekin Council,council,Telford and Wrekin,UKG21,nuts3
Thurrock Council,council,Thurrock,UKH32,nuts3
Torbay Council,council,Torbay,UKK42,nuts3
WARWICKSHIRE COUNTY COUNCIL 112309,council,Warwickshire,UKG13,nuts3
WEST SUSSEX COUNTY COUNCIL 107962,council,West Sussex,UKJ24,nuts3
WORCESTERSHIRE COUNTY COUNCIL 112256,council,Worcestershire,UKG12,nuts3
WORCESTERSHIRE COUNTY COUNCIL 114823,council,Worcestershire,UKG12,nuts3
Warwickshire County Council,council,Warwickshire,UKG13,nuts3
West Lothian Council,council,West Lothian,UKM28,nuts3
Wiltshire County Council,council,Wiltshire,UKK15,nuts3
Worcestershire County Council,council,Worcestershire,UKG12,nuts3
ARMAGH CITY AND DISTRICT COUNCIL,council,Armagh,UKN0501,lau1
Aberdeen City Council,council,Aberdeen City,S30000026,lau1
Aberdeenshire Council,council,Aberdeenshire,S30000027,lau1
Angus Council,council,Angus,S30000001,lau1
Antrim Borough Council,council,Antrim,UKN0301,lau1
Ards Borough Council,council,Ards,UKN0302,lau1
Argyll and Bute Council,council,"Argyll & Bute Mainland,Argyll & Bute Islands","S30000036,S30000035",lau1
Armagh City and District Council,council,Armagh,UKN0501,lau1
Ashfield District Council,council,Ashfield,E07000170,lau1
BARKING & DAGENHAM LONDON BOROUGH COUNCIL 108156,council,Barking and Dagenham,UKI2101,lau1
BARNSLEY METROPOLITAN BOROUGH COUNCIL 107015,council,Barnsley,E08000016,lau1
BASSETLAW DISTRICT COUNCIL 117004,council,Bassetlaw,E07000171,lau1
BIRMINGHAM CITY COUNCIL 108141,council,Birmingham,E08000025,lau1
BOLTON METROPOLITAN BOROUGH COUNCIL 116165,council,Bolton,E08000001,lau1
BOURNEMOUTH COUNCIL 108132,council,Bournemouth,E06000028,lau1
BRADFORD CITY COUNCIL 108791,council,Bradford,E08000032,lau1
BRIGHTON & HOVE CITY COUNCIL 110173,council,Brighton and Hove,E06000043,lau1
BRISTOL CITY COUNCIL 115501,council,"Bristol, City of",UKK11,nuts3
BROADLAND DISTRICT COUNCIL 106945,council,Broadland,E07000144,lau1
BUCKINGHAMSHIR E COUNTY COUNCIL 108149,council,Buckinghamshire CC,UKJ13,nuts3
BURY METROPOLITAN BOROUGH COUNCIL 108127,council,Bury,E08000002,lau1
Ballymena Borough Council,council,Ballymena,UKN0303,lau1
Ballymoney Borough Council,council,Ballymoney,UKN0401,lau1
Banbridge District Council,council,Banbridge,UKN0304,lau1
Barnsley Metropolitan Borough Council,council,Barnsley,E08000016,lau1
Bassetlaw District Council,council,Bassetlaw,E07000171,lau1
Bedford Borough Council,council,Bedford,E06000055,lau1
Belfast City Council,council,Belfast,UKN0100,lau1
Birmingham City Council,council,Birmingham,E08000025,lau1
Blackburn with Darwen Borough Council,council,Blackburn with Darwen,E06000008,lau1
Blackpool Borough Council,council,Blackpool,E06000009,lau1
Blaenau Gwent County Borough Council,council,Blaenau Gwent,W06000019,lau1
Bolsover District Council,council,Bolsover,E07000033,lau1
Borough Council of Calderdale,council,Calderdale,E08000033,lau1
Breckland Council,council,Breckland,E07000143,lau1
Breckland District Council,council,Breckland,E07000143,lau1
Bridgend County Borough Council,council,Bridgend,W06000013,lau1
Bristol City Council,council,"Bristol, City of",UKK11,nuts3
Broadland District Council,council,Broadland,E07000144,lau1
CHESHIRE COUNTY COUNCIL 105291,council,Cheshire,UKD6,nuts2
CITY OF YORK COUNCIL 107576,council,York,E06000014,lau1
COLERAINE BOROUGH COUNCIL,council,Coleraine,UKN0402,lau1
COMMON COUNCIL OF THE CITY OF LONDON 110175,council,London,UKI,nuts1
COOKSTOWN DISTRICT COUNCIL,council,Cookstown,UKN0502,lau1
COUNCIL OF THE ISLES OF SCILLY 110135,council,Isles of Scilly,E06000053,lau1
COVENTRY CITY COUNCIL 108101,council,Coventry,E08000026,lau1
CROYDON LONDON BOROUGH COUNCIL 108123,council,Croydon,UKI2202,lau1
CUMBRIA COUNCIL FOR VOLUNTARY SERVICE 118234,council,Cumbria,UKD1,nuts2
CUMBRIA COUNTY COUNCIL 108122,council,Cumbria,UKD1,nuts2
Caerphilly County Borough Council,council,Caerphilly,W06000018,lau1
Calderdale Metropolitan Borough Council,council,Calderdale,E08000033,lau1
Cambridge County Council,council,Cambridge,E07000008,lau1
Cardiff Council,council,Cardiff,W06000015,lau1
Carlisle City Council,council,Carlisle,E07000028,lau1
Carmarthenshire County Council,council,Carmarthenshire,W06000010,lau1
Castlereagh Borough Council,council,Castlereagh,UKN0203,lau1
Ceredigion County Council,council,Ceredigion,W06000008,lau1
Cheshire West & Chester Borough Council,council,Cheshire West and Chester,E06000050,lau1
Chesterfield Borough Council,council,Chesterfield,E07000034,lau1
City of Bradford Metropolitan District Council,council,Bradford,E08000032,lau1
City of Edinburgh Council,council,"Edinburgh, City of",UKM25,nuts3
Clackmannanshir e Council,council,Clackmannanshire,S30000003,lau1
Clackmannanshire Council,council,Clackmannanshire,S30000003,lau1
Coleraine Borough Council,council,Coleraine,UKN0402,lau1
Conwy County Borough Council,council,Conwy,W06000003,lau1
Cookstown District Council,council,Cookstown,UKN0502,lau1
Corby Borough Council,council,Corby,E07000150,lau1
Cornwall Council,council,Cornwall,E06000052,lau1
Cornwall County Council,council,Cornwall,E06000052,lau1
Council Of The Isles of Scilly,council,Isles of Scilly,E06000053,lau1
Coventry City Council,council,Coventry,E08000026,lau1
Craigavon Borough Council,council,Craigavon,UKN0305,lau1
Craigavon Brough Council,council,Craigavon,UKN0305,lau1
Cumbria County Council,council,Cumbria,UKD1,nuts2
DARLINGTON BOROUGH COUNCIL 107066,council,Darlington,E06000005,lau1
DERBY CITY COUNCIL 112617,council,Derby,E06000015,lau1
DONCASTER METROPOLITAN BOROUGH COUNCIL 107022,council,Doncaster,E08000017,lau1
DUDLEY METROPOLITAN BOROUGH COUNCIL 111333,council,Dudley,E08000027,lau1
Darlington Borough Council,council,Darlington,E06000005,lau1
Denbighshire County Borough Council,council,Denbighshire,W06000004,lau1
Derby City Council,council,Derby,E06000015,lau1
Derry City Council,council,Derry,UKN0403,lau1
Doncaster Borough Council,council,Doncaster,E08000017,lau1
Down District Council,council,Down,UKN0306,lau1
Dudley Metropolitan Borough Council,council,Dudley,E08000027,lau1
Dumfries and Galloway Council,council,Dumfries & Galloway,S30000016,lau1
Dundee City Council,council,Dundee City,S30000002,lau1
Dungannon & South Tyrone Borough Council,council,Dungannon,UKN0503,lau1
Dungannon & South Tyrone Brough Council,council,Dungannon,UKN0503,lau1
Dungannon and South Tyrone Borough Council,council,Dungannon,UKN0503,lau1
EALING LONDON BOROUGH COUNCIL 110138,council,Ealing,UKI2303,lau1
ELLESMERE PORT AND NESTON BOROUGH COUNCIL 111640,council,Neston and Parkgate,UKD63_E05008127,lau2
ENFIELD LONDON BOROUGH COUNCIL 109443,council,Enfield,UKI2103,lau1
East Ayrshire Council,council,East Ayrshire,S30000017,lau1
East Dunbartonshire Council,council,East Dunbartonshire,S30000015,lau1
East Lindsey District Council,council,East Lindsey,E07000137,lau1
East Lothian Council,council,East Lothian,S30000005,lau1
East Midlands Councils,council,East Midlands (England),UKF,nuts1
Enfield Council,council,Enfield,UKI2103,lau1
Fermanagh District Council,council,Fermanagh,UKN0504,lau1
Fife Council,council,Fife,S30000004,lau1
Fife Council for Fife Community Planning Partnership,council,Fife,S30000004,lau1
Flintshire County Council,council,Flintshire,W06000005,lau1
GATESHEAD COUNCIL 107102,council,Gateshead,E08000037,lau1
GLOUCESTERSHIR E COUNTY COUNCIL 105505,council,Gloucester,E07000081,lau1
Gateshead Council,council,Gateshead,E08000037,lau1
Glasgow City Council,council,Glasgow City,S30000019,lau1
Glasgow Council for the Voluntary Sector,council,Glasgow City,S30000019,lau1
Greenwich Council,council,Greenwich,UKI2104,lau1
HALTON BOROUGH COUNCIL 106895,council,Halton,E06000006,lau1
HARINGEY LONDON BOROUGH COUNCIL 107480,council,Haringey,UKI1202,lau1
HARTLEPOOL BOROUGH COUNCIL 115616,council,Hartlepool,E06000001,lau1
HAVERING LONDON BOROUGH COUNCIL 108069,council,Havering,UKI2105,lau1
HOUNSLOW LONDON BOROUGH COUNCIL 107138,council,Hounslow,UKI2306,lau1
Hambleton District Council,council,Hambleton,E07000164,lau1
Harborough District Council,council,Harborough,E07000131,lau1
Haringey Council,council,Haringey,UKI1202,lau1
Harrow Council,council,Harrow,UKI2304,lau1
Hartlepool Borough Council,council,Hartlepool,E06000001,lau1
Inverclyde Council,council,Inverclyde,S30000022,lau1
KETTERING BOROUGH COUNCIL 106963,council,Kettering,E07000153,lau1
KINGSTON UPON HULL CITY COUNCIL 108072,council,"Kingston upon Hull, City of",UKE11,nuts3
KIRKLEES METROPOLITAN COUNCIL 115465,council,Kirklees,E08000034,lau1
KNOWSLEY METROPOLITAN BOROUGH COUNCIL 108057,council,Knowsley,E08000011,lau1
Kingston upon Hull City Council,council,"Kingston upon Hull, City of",UKE11,nuts3
Kirklees Council,council,Kirklees,E08000034,lau1
Knowsley Metropolitan Borough Council,council,Knowsley,E08000011,lau1
LAMBETH LONDON BOROUGH COUNCIL 111722,council,Lambeth,UKI1204,lau1
LAMBETH LONDON BOROUGH COUNCIL 117451,council,Lambeth,UKI1204,lau1
LB Brent Council,council,Brent,UKI2302,lau1
LEEDS CITY COUNCIL 115315,council,Leeds,E08000035,lau1
LEICESTER CITY COUNCIL 112414,council,Leicester,E06000016,lau1
LIVERPOOL CITY COUNCIL 108048,council,Liverpool,E08000012,lau1
Lancaster City Council,council,Lancaster,E07000121,lau1
Larne Borough Council,council,Larne,UKN0307,lau1
Leeds City Council,council,Leeds,E08000035,lau1
Leicester City Council,council,Leicester,E06000016,lau1
Limavady Borough Council,council,Limavady,UKN0404,lau1
Lisburn City Council,council,Lisburn,UKN0204,lau1
Lisburn city council,council,Lisburn,UKN0204,lau1
Liverpool City Council,council,Liverpool,E08000012,lau1
Local Strategy Partnership Derry City Council area,council,Derry,UKN0403,lau1
Luton Borough Council,council,Luton,E06000032,lau1
MERTON BOROUGH COUNCIL 115152,council,Merton,UKI2204,lau1
MIDDLESBROUGH COUNCIL 107072,council,Middlesbrough,E06000002,lau1
Magherafelt District Council,council,Magherafelt,UKN0505,lau1
Manchester City Council,council,Manchester,E08000003,lau1
Mansfield District Council,council,Mansfield,E07000174,lau1
Melton Borough Council,council,Melton,E07000133,lau1
Merthyr Tydfil County Borough Council,council,Merthyr Tydfil,W06000024,lau1
Middlesborough Borough Council,council,Middlesbrough,E06000002,lau1
Middlesbrough Council,council,Middlesbrough,E06000002,lau1
Midlothian Council,council,Midlothian,S30000006,lau1
Moyle District Council,council,Moyle,UKN0405,lau1
NEWCASTLE UPON TYNE CITY COUNCIL 108039,council,Newcastle upon Tyne,E08000021,lau1
NORTH TYNESIDE METROPOLITAN BOROUGH COUNCIL 107970,council,North Tyneside,E08000022,lau1
NORTH WEST TRAINING COUNCIL 105892,council,North West (England),UKD,nuts1
NOTTINGHAM CITY COUNCIL 116162,council,Nottingham,E06000018,lau1
Neath Port Talbot County Borough Council,council,Neath Port Talbot,W06000012,lau1
Newcastle City Council,council,Newcastle upon Tyne,E08000021,lau1
Newport City Council,council,Newport,W06000022,lau1
Newry and Mourne District Council,council,Newry and Mourne,UKN0506,lau1
Newtownabbey Borough Council,council,Newtownabbey,UKN0202,lau1
North Ayrshire Council,council,North Ayrshire mainland,S30000018,lau1
North Down Borough Council,council,North Down,UKN0205,lau1
Nottingham City Council,council,Nottingham,E06000018,lau1
OXFORD DIOCESAN COUNCIL FOR SOCIAL WORK 112751,council,Oxford,E07000178,lau1
Oldham Metropolitan Borough Council,council,Oldham,E08000004,lau1
Omagh District Council,council,Omagh,UKN0507,lau1
Omagh District Council for Omagh District Training Consortium,council,Omagh,UKN0507,lau1
Omagh District Council for and on behalf of Omagh District Training Consortium,council,Omagh,UKN0507,lau1
Oxford City Council,council,Oxford,E07000178,lau1
PETERBOROUGH CITY COUNCIL 112456,council,Peterborough,E06000031,lau1
PLYMOUTH CITY COUNCIL 114820,council,Plymouth,E06000026,lau1
Pembrokeshire County Council,council,Pembrokeshire,W06000009,lau1
Pendle Borough Council,council,Pendle,E07000122,lau1
Perth and Kinross Council,council,Perth & Kinross,S30000010,lau1
Plymouth City Council (Misc/Grants,council,Plymouth,E06000026,lau1
REDBRIDGE LONDON BOROUGH COUNCIL 108009,council,Redbridge,UKI2106,lau1
REDCAR AND CLEVELAND BOROUGH COUNCIL 107078,council,Redcar and Cleveland,E06000003,lau1
RICHMOND UPON THAMES BOROUGH COUNCIL 107141,council,Richmond upon Thames,UKI2307,lau1
RICHMOND UPON THAMES BOROUGH COUNCIL 116192,council,Richmond upon Thames,UKI2307,lau1
ROCHDALE BOROUGH COUNCIL 108006,council,Rochdale,E08000005,lau1
ROTHERHAM BOROUGH COUNCIL 106055,council,Rotherham,E08000018,lau1
RUTLAND COUNTY COUNCIL 110561,council,Rutland,E06000017,lau1
Reading Borough Council,council,Reading,E06000038,lau1
Redbridge Council for Voluntary Service,council,Redbridge,UKI2106,lau1
Redcar & Cleveland Borough Council,council,Redcar and Cleveland,E06000003,lau1
Renfrewshire Council,council,Renfrewshire,S30000021,lau1
Rhondda Cynon Taf County Borough Council,council,Rhondda Cynon Taf,W06000016,lau1
Rotherham Metropolitan Borough Council,council,Rotherham,E08000018,lau1
SALFORD CITY COUNCIL 110143,council,Salford,E08000006,lau1
SANDWELL METROPOLITAN BOROUGH COUNCIL 107984,council,Sandwell,E08000028,lau1
SANDWELL METROPOLITAN BOROUGH COUNCIL 110058,council,Sandwell,E08000028,lau1
SEDGEFIELD BOROUGH COUNCIL 106432,council,Sedgefield,UKC14_E05008002,lau2
SEED - Ards Borough Council,council,Ards,UKN0302,lau1
SEED - Banbridge District Council,council,Banbridge,UKN0304,lau1
SEED - Down District Council,council,Down,UKN0306,lau1
SEFTON METROPOLITAN BOROUGH COUNCIL 115970,council,Sefton,E08000014,lau1
SHEFFIELD CITY COUNCIL 112753,council,Sheffield,E08000019,lau1
"SIGNAL, North Down Borough Council",council,North Down,UKN0205,lau1
SLOUGH BOROUGH COUNCIL 106336,council,Slough,E06000039,lau1
SOUTHAMPTON CITY COUNCIL 110203,council,Southampton,E06000045,lau1
SOUTHEND-ON-SEA BOROUGH COUNCIL 110149,council,Southend-on-Sea,E06000033,lau1
STOCKPORT METROPOLITAN BOROUGH COUNCIL 107988,council,Stockport,E08000007,lau1
STOCKTON-ON-TEES BOROUGH COUNCIL 107084,council,Stockton-on-Tees,E06000004,lau1
Salford City Council,council,Salford,E08000006,lau1
Scarborough Borough Council,council,Scarborough,E07000168,lau1
Sefton Borough Council,council,Sefton,E08000014,lau1
Sheffield City Council,council,Sheffield,E08000019,lau1
South Holland District Council,council,South Holland,E07000140,lau1
South Tyneside Metropolitan Borough Council,council,South Tyneside,E08000023,lau1
Southampton City Council,council,Southampton,E06000045,lau1
Southend-on-Sea Borough Council,council,Southend-on-Sea,E06000033,lau1
St Helens Metropolitan Borough Council,council,St. Helens,E08000013,lau1
Staveley Town Council,council,Chesterfield,E07000034,lau1
Stirling Council,council,Stirling,S30000011,lau1
Stockport Council,council,Stockport,E08000007,lau1
Stockport Metropolitain Borough Council,council,Stockport,E08000007,lau1
Stockton Borough Council,council,Stockton-on-Tees,E06000004,lau1
Stockton-on-Tees Borough Council,council,Stockton-on-Tees,E06000004,lau1
Stoke On Trent City Council,council,Stoke-on-Trent,E06000021,lau1
Strabane District Council,council,Strabane,UKN0406,lau1
Strabane District Council & Omagh District Council,council,"Omagh,Strabane","UKN0507,UKN0406",lau1
Sunderland City Council,council,Sunderland,E08000024,lau1
TAMESIDE METROPOLITAN BOROUGH COUNCIL 107976,council,Tameside,E08000008,lau1
THE CORNWALL COUNCIL 108108,council,Cornwall,E06000052,lau1
THE CORNWALL COUNCIL 115676,council,Cornwall,E06000052,lau1
TOWER HAMLETS LONDON BOROUGH COUNCIL 107980,council,Tower Hamlets,UKI1208,lau1
TRAFFORD METROPOLITAN BOROUGH COUNCIL 106869,council,Trafford,E08000009,lau1
The Moray Council,council,"West Moray, North East Moray","S30000032,S30000033",lau1
Torfaen County Borough Council,council,Torfaen,W06000020,lau1
VALE ROYAL BOROUGH COUNCIL 106424,council,Cheshire West and Chester,UKD63,nuts3
WAKEFIELD CITY COUNCIL 107968,council,Wakefield,E08000036,lau1
WALSALL METROPOLITAN BOROUGH COUNCIL 111355,council,Walsall,E08000030,lau1
WALTHAM FOREST LONDON BOROUGH COUNCIL 109899,council,Waltham Forest,UKI2107,lau1
WANDSWORTH LONDON BOROUGH COUNCIL 108973,council,Wandsworth,UKI1105,lau1
WARRINGTON BOROUGH COUNCIL 106426,council,Warrington,E06000007,lau1
WAVERLEY BOROUGH COUNCIL 105529,council,Waverley,E07000216,lau1
WESTMINSTER CITY COUNCIL 111720,council,Westminster,UKI1106,lau1
WIGAN METROPOLITAN BOROUGH COUNCIL 106841,council,Wigan,E08000010,lau1
WIRRAL METROPOLITAN BOROUGH COUNCIL 116058,council,Wirral,E08000015,lau1
WOLVERHAMPTON CITY COUNCIL 108152,council,Wolverhampton,E08000031,lau1
WYCOMBE DISTRICT COUNCIL 116440,council,Wycombe,E07000007,lau1
Wandsworth Borough Council Wandsworth High Street SW18 2PU,council,Wandsworth,UKI1105,lau1
Warrington Borough Council,council,Warrington,E06000007,lau1
Waveney District Council,council,Waveney,E07000206,lau1
West Dunbartonshire Council,council,West Dunbartonshire,S30000014,lau1
West Dunbartonshire Council on Behalf of West Dunbartonshire CPP,council,West Dunbartonshire,S30000014,lau1
West Lindsey District Council,council,West Lindsey,E07000142,lau1
Westminster City Council Westminster City Hall 64 Victoria Street SW1E 6QP,council,Westminster,UKI1106,lau1
Wirral Borough Council,council,Wirral,E08000015,lau1
Wirral Metropolitan Borough Council,council,Wirral,E08000015,lau1
Wolverhampton City Council,council,Wolverhampton,E08000031,lau1
Wrexham County Council,council,Wrexham,W06000006,lau1
Wyre Borough Council,council,Wyre,E07000128,lau1
