fund,start_year,end_year,beneficiary_name,project_name,total_amount,county
ERDF,,2013,Ronayne Wood Products,Ronayne Wood Products/BE,10000,
ERDF,,2013,Ship My Tri Bike,Ship My Tri Bike/BP,8000,
ERDF,,2013,Waterjet Precision Profiles,Waterjet Precision Profiles/BP,15000,
ERDF,,2013,Wendy Louise Designs,Wendy Louise Designs/BE,3000,
ERDF,,2013,Alcor Global Relocation,Alcor Global Relocation/Feas,1844.03,
ERDF,,2013,Apologue Ltd,Apologue Ltd/BP,20000,
ERDF,,2013,Check Your Tennant,Check Your Tennant/Feas,626.82,
ERDF,,2013,Denre Studios Ltd,Denre Studios Ltd/Feas,6569.03,
ERDF,,2013,Elemex Ltd,Elemex Ltd/BE,5564.5,
ERDF,,2013,Engineered Composites Ltd,Engineered Composites Ltd/Feas,5000,
ERDF,,2013,Glenart Framing Ltd,Glenart Framing Ltd/BP,3276.27,
ERDF,,2013,Green Gorgeous Ltd,Green Gorgeous Ltd/BP,4351.37,
ERDF,,2013,Health & Wellness Software Ltd,Health & Wellness Software Ltd t/a MiStudio/BP,14308.25,
ERDF,,2013,In Season Fine Foods,In Season Fine Foods /BP,2767,
ERDF,,2013,Instant Solar Ltd,Instant Solar Ltd/ Feas,5400,
ERDF,,2013,Metroside,Metroside Ltd/BP,12876.36,
ERDF,,2013,North East Management,North East Water Management/BP,7931.27,
ERDF,,2013,Smorgasboard Ltd,Smorgasboard Ltd/BP,11363.23,
ERDF,,2013,The Plantfiles Ltd,The Plantfiles Ltd/BE,14949.5,
ERDF,,2013,Attik Designs P/G,Attik Designs P/G,6155,
ERDF,,2013,Caroline Joyce t/a CARA B/E,Caroline Joyce t/a CARA B/E,3500,
ERDF,,2013,Garvan Newman F/S,Garvan Newman F/S,5000,
ERDF,,2013,KLF Corporate Ltd P/G,KLF Corporate Ltd P/G,129233,
ERDF,,2013,Material Needs P/G,Material Needs P/G,359.5,
ERDF,,2013,Mayo CEB,Student Enterprise Programme,37128.56,
ERDF,,2013,Mayo CEB,One to one mentoring,43339.81,
ERDF,,2013,Mayo CEB,Business Training Workshops,10769.51,
ERDF,,2013,Mayo CEB,Support for Networks,7465,
ERDF,,2013,Mayo CEB,Marketing Support,31144.5,
ERDF,,2013,Mayo CEB,In Company Training,2950,
ERDF,,2013,Mayo CEB,Marketing Training Programmes,10838.36,
ERDF,,2013,Mayo CEB,Meetwest Event,10000,
ERDF,,2013,Mayo CEB,E Commerce Support,48031.4,
ERDF,,2013,Mayo CEB,Start Your Own Business,11155.55,
ERDF,,2013,Mayo CEB,Managing Your Finances,11457.65,
ERDF,,2013,Mayo CEB,Parknav F/S,7157.85,
ERDF,,2013,Mescan Brewery P/G,Mescan Brewery P/G,24576,
ERDF,,2013,MMM Family Bakery B/E,MMM Family Bakery B/E,18000,
ERDF,,2013,MW Designs,MW Designs,4000,
ERDF,,2013,P23 / Rory Staunton P/G,P23 / Rory Staunton P/G,15000,
ERDF,,2013,PCS Ireland B/E,PCS Ireland B/E,4000,
ERDF,,2013,Redmond Cabot P/G,Redmond Cabot P/G,11306,
ERDF,,2013,Tommy Griffith t/a PEL B/E,Tommy Griffith t/a PEL B/E,8000,
ERDF,,2013,TruckScience P/G,TruckScience P/G,6730,
ERDF,,2013,Victor del Rosal F/S,Victor del Rosal F/S,600,
ERDF,,2013,Brendan McCleary,Pet Shop Online Sales Ltd,6750,
ERDF,,2013,Colm O’ Hagan,Project Engineering/BE,13732.39,
ERDF,,2013,Dermot McArdle,Dermot McArdle/FG,2995.2,
ERDF,,2013,Enda Prendergast,Enda Prendergast/Feas,3709.03,
ERDF,,2013,Glen Cruikshank,Shanks EngineeringLtd/PG,6280.1,
ERDF,,2013,Michael Treanor,Mullan Lighting & Design/PG,19828.55,
ERDF,,2013,Michael Ward,Ward Engineering/BE,15000,
ERDF,,2013,Monaghan CEB,Exporting Programme/M2,225.42,
ERDF,,2013,Monaghan CEB,eCommerce Grant/M2,3457.48,
ERDF,,2013,Monaghan CEB,Marketing Grant/M2,1447.71,
ERDF,,2013,Monaghan CEB,Women in Business/M2,17100,
ERDF,,2013,Monaghan CEB,Sales & Marketing/M2,2430.57,
ERDF,,2013,Monaghan CEB,Showcase/M2,1954.53,
ERDF,,2013,Monaghan CEB,Tender Training/M2,1853.79,
ERDF,,2013,Monaghan CEB,eCommerce Programme/M2,22604.95,
ERDF,,2013,Monaghan CEB,eBay/M2,7396.06,
ERDF,,2013,Monaghan CEB,Idea’s Generation/M2,1678.27,
ERDF,,2013,Monaghan CEB,Costing and Pricing/M2,1230.01,
ERDF,,2013,Monaghan CEB,Computerised Accounts/M2,8374.12,
ERDF,,2013,Monaghan CEB,Artisan Food Programme/M2,13440.76,
ERDF,,2013,Monaghan County Enterprise Board,Tradeshow Grants/M2,2000,
ERDF,,2013,Seamus McMahon,Brehon Brewhouse/PG,30761.08,
ERDF,,2013,"Ciara Flood, T/ Herbs on Thyme","Ciaran Flood, T/a Herbs on Thyme – BE",2671,
ERDF,,2013,Decontamination Technical Services Limited,Decontamination Technical Services Limited -BE,7500,
ERDF,,2013,Euram Air Leases (Ire) Limited,Euram Air Leases (Ire) Limited – BE,25000,
ERDF,,2013,"Gary Hoctor, T/a Hello Camera","Gary Hoctor, T/a Hello Camera – BE",6000,
ERDF,,2013,Guinan Waste Recovery Limited,Guinan Waste Recovery Limited – PG,11462,
ERDF,,2013,Midland Truck Mixer Parts Limited,Midland Truck Mixer Parts Limited – BE,31000,
ERDF,,2013,Offaly CEB,Schools Enterprise Initiatives 2014/M2,7330.18,
ERDF,,2013,Offaly CEB,Sales&MarketingOLDC2013/M2,2760,
ERDF,,2013,Offaly CEB,SYOBOffalyTravellerWomen 2013/M2,2800,
ERDF,,2013,Offaly CEB,Starting your own Business Course 2014/M2,3125,
ERDF,,2013,Offaly CEB,GettingBusinessOnline2013/M2,775,
ERDF,,2013,Offaly County Council,Offaly Water Con WMR Project,10000000,
ERDF,,2013,Paramount Conversions Limited,Paramount Conversions Limited – BE,6000,
ERDF,,2013,Ray & Michael Connolly,Ray & Michael Connolly – PG,5000,
ERDF,,2013,"Seanie & Jesse Morris, T/a Dezynamite","Seanie & Jesse Morris, T/a Dezynamite – BE",6000,
ERDF,,2013,Whatzere Global Limited,Whatzere Global Limited – FS,12600,
ERDF,,2013,Website Search Engine Optimisation,Website Search Engine Optimisation,1002.6,
ERDF,,2013,Alan Ryan,Ryan Engineering ltd – expansion,13750,
ERDF,,2013,Benny O Connell,Benny’s Deli – Expansion,6000,
ERDF,,2013,Brendan Allen,Castlemine Farms Ltd – expansion,8717,
ERDF,,2013,David Knight,Willow Design & Publishing Ltd – expansion,6225.82,
ERDF,,2013,Emmet Featherstone,keen print Ltd – expansion,14125,
ERDF,,2013,Linda Higgins,Bridies Bakery – Expansion,10000,
ERDF,,2013,Marie Regan,Regans Structural Steel – expansion,1715.5,
ERDF,,2013,Mike Connolly,Kinnedan Organics ltd- expansion,4889.1,
ERDF,,2013,Mike Connolly,Kinnedan Organic- expansion,3750,
ERDF,,2013,Padraig Cuddy,Class Grass – expansion,9250,
ERDF,,2013,Pauline Naughton,P & G Cards & Stationery – feasibility,20000,
ERDF,,2013,Ray Lynch,Multipurpose sheds – expansion,5000,
ERDF,,2013,Rooscommon CEB,Exhibitions and Seminars 2013 M2,15277.68,
ERDF,,2013,Roscommon CEB,Innovating Start Ups – EI,1005,
ERDF,,2013,Roscommon CEB,Business and Sustainability,12085,
ERDF,,2013,Roscommon CEB,PR and Marketing 2013,2505,
ERDF,,2013,Roscommon ceb,Employment Law 2013,3120,
ERDF,,2013,Roscommon ceb,facebook marketing,3255,
ERDF,,2013,Roscommon ceb,Website optimisation,3100,
ERDF,,2013,Roscommon ceb,basic book keeping,1450,
ERDF,,2013,Roscommon CEB,Social Media Marketing,5990,
ERDF,,2013,Roscommon CEB,Start your own business 2013,12078.5,
ERDF,,2013,Roscommon CEB,National Enterprise Awards 2013 M2,1774.45,
ERDF,,2013,Roscommon CEB,lamb Festival – craft fair,4080.13,
ERDF,,2013,Roscommon CEB,mentoring 2013,36522.96,
ERDF,,2013,Roscommon CEB,50+ Entrepreneurs,850,
ERDF,,2013,Roscommon ceb,In house training grantsM2,19549,
ERDF,,2013,Roscommon CEB,Website grants – M2 2013,17336.48,
ERDF,,2013,Roscommon CEB,Branding & Logo 2013 – M2,1260.83,
ERDF,,2013,Roscommon ceb,Enterprise promotion and Roscommon Business network 2013 M2,25093.9,
ERDF,,2013,Roscommon CEB,Roswin & NWED M2 2013,1410,
ERDF,,2013,Roscommon CEB,Joint Initative/contributions M2 2013,23984.34,
ERDF,,2013,Roscommon ceb,Schools Enterprise 2013 M2,8848.09,
ERDF,,2013,Applied Industrial Services Ltd.,Applied Industrial Services Ltd. / BE,12620,
ERDF,,2013,Awesome Adventures,Awesome Adventures /PR,30367,
ERDF,,2013,Colm Brennan,Colm Brennan /PR,6250,
ERDF,,2013,DigicreatiV,DigicreatiV /BE,751,
ERDF,,2013,Firefly Orthoses Ltd.,"Firefly Orthoses Ltd., BE",3750,
ERDF,,2013,Firefly Orthoses Ltd.,Firefly Orthoses Ltd. /BE,7500,
ERDF,,2013,Lc Seating Ltd.,LC Seating Ltd. BE,45548,
ERDF,,2013,Lighthouse Learning Ltd.,Lighthouse Learning Ltd. / BE,3750,
ERDF,,2013,Lurgan Green Shellfish Ltd.,Lurgan Gren Shellfish Ltd./FS,7388,
ERDF,,2013,MITO Precision Engineering Ltd,MITO Precision Engineering Ltd BE,25000,
ERDF,,2013,Nealon Engineering Ltd.,Nealon Engineering Lrd. BE,36250,
ERDF,,2013,Quickcrop Ltd.,Quickcrop Ltd./BE,13385,
ERDF,,2013,Sligo County Enterprise Board,Women in Business 2013,18451.68,
ERDF,,2013,Sligo County Enterprise Board,Facebook for Business Beginners 2013,2305.6,
ERDF,,2013,Sligo County Enterprise Board,Facebook for Business Advanced 2013,2330.25,
ERDF,,2013,Sligo County Enterprise Board,Using Twitter for Business Beginners 2013,920,
ERDF,,2013,Sligo County Enterprise Board,National Procurement Seminar 2013,448.96,
ERDF,,2013,Sligo County Enterprise Board,Tips and Techniques to develop your business 2013,202.8,
ERDF,,2013,Sligo County Enterprise Board,Income Tax and VAT Returns 2013,866.85,
ERDF,,2013,Sligo County Enterprise Board,New Ideas 2013,1016.85,
ERDF,,2013,Sligo County Enterprise Board,National Enterprise Awards 2013,1136.2,
ERDF,,2013,Sligo County Enterprise Board,Time to Shine – Effective Time Management 2013,423.8,
ERDF,,2013,Sligo County Enterprise Board,Are yiou Ready to Export 2013 /M2,799.5,
ERDF,,2013,Sligo County Enterprise Board,Improve Your Own Business 2013,2522.6,
ERDF,,2013,Sligo County Enterprise Board,Exporting my Craft 2013,1040.2,
ERDF,,2013,Sligo County Enterprise Board,PR and Branding for Crafts,424.85,
ERDF,,2013,Sligo County Enterprise Board,Using Likedin for Business 2013,210,
ERDF,,2013,Sligo County Enterprise Board,Single Point of Contact 2013,650,
ERDF,,2013,Sligo County Enterprise Board,Business Information Centre 2013,375,
ERDF,,2013,Sligo County Enterprise Board,Costing and Pricing 2013,636.85,
ERDF,,2013,Sligo County Enterprise Board,Promotions 2013,6139.5,
ERDF,,2013,Sligo County Enterprise Board,SAGE 50 2013,4000,
ERDF,,2013,Sligo County Enterprise Board,Practical Sales and Marketing 2013,3269,
ERDF,,2013,Sligo County Enterprise Board,Financial Management 2013,1621.4,
ERDF,,2013,Sligo County Enterprise Board,Training Support Grants,462,
ERDF,,2013,Sligo County Enterprise Board,Market Development Assistance 2013,7678,
ERDF,,2013,Sligo County Enterprise Board,Trade Fairs 2013,6647.41,
ERDF,,2013,Sligo County Enterprise Board,Basic Book Keeping & Taxation (3) 2013,2203,
ERDF,,2013,Sligo County Enterprise Board,Basic Book keeping & Taxation (2) 2013,2175,
ERDF,,2013,Sligo County Enterprise Board,Basic Book keeping & Taxation (1) 2013,2207,
ERDF,,2013,Sligo County Enterprise Board,SYOB (5) 2013,4080,
ERDF,,2013,Sligo County Enterprise Board,SYOB (4) 2013,4334,
ERDF,,2013,Sligo County Enterprise Board,SYO (3) 2013,4156,
ERDF,,2013,Sligo County Enterprise Board,SYOB (2) 2013,4262,
ERDF,,2013,Sligo County Enterprise Board,SYOB (1) 2013,4366,
ERDF,,2013,Sligo County Enterprise Board,Senior Entrepreneurs 2013,550,
ERDF,,2013,Sligo County Enterprise Board,Competitiveness & Imnnovation 2013,9501,
ERDF,,2013,Sligo County Enterprise Board,Management Information Systems   2013,7250,
ERDF,,2013,Sligo County Enterprise Board,Using Twitter for Business Advanced 2013,1322.25,
ERDF,,2013,Sligo County Enterprtise Board,Mentor Programme 2013,108851.45,
ERDF,,2013,The Book Nest Ltd.,The Book Nest Ltd. BE,6795,
ERDF,,2013,Tom Daly,Tom Daly / FS,4032,
ERDF,,2013,Voya Seaweed Baths Ltd.,Voya Seawwod Baths Ltd. / BE,9450,
ERDF,,2013,WOBEGO Ltd.,WOBEGO Ltd. /PR,18698,
ERDF,,2013,Customer Services 2013,Customer Services 2013,1716.85,
ERDF,,2013,Sligo County Enterprise Board,Schools Programme 2013,21747.3,
ERDF,,2013,Sligo County Enterprise Board,Creative Marketig 2013,715,
ERDF,,2013,Sligo County Enterprise Board,Business Website Review Clinics 2013,1980,
ERDF,,2013,BCSD Energy Ltd 2013/18,BCSD Energy Ltd FIG,2830.56,
ERDF,,2013,Casa Rizzini Ltd,Casa Rizzini Ltd BEG,13192.5,
ERDF,,2013,Centre Earth Ltd,Centre Earth Ltd PG,75000,
ERDF,,2013,Colin Delaney,Colin Delaney BEG,11191.5,
ERDF,,2013,Dermot Fox,Dermot Fox FIG,20000,
ERDF,,2013,DG Ventures Ltd,DG Ventures Ltd BEG,22500,
ERDF,,2013,E Sharry Multy Development Ltd,E Sharry Multy Development Ltd PG,7822.06,
ERDF,,2013,Eoin & Austin Reid,Eoin & Austin Reid FIG,9962.15,
ERDF,,2013,Fiachra FInnegan,Fiachra FInnegan BE,7591.5,
ERDF,,2013,Flamers Ltd,Flamers Ltd PG,65000,
ERDF,,2013,Flynn Wood 2 Go Ltd,Flynn Wood 2 Go Ltd PG,27876.16,
ERDF,,2013,Gary Wheeler,Garry Wheeler BE,3750,
ERDF,,2013,Gary Wheeler,Gary Wheeler BE,3750,
ERDF,,2013,Independent Living Ireland Ltd,Independent Living Ireland Ltd PG,15000,
ERDF,,2013,James Quinlavan,James Quinlavan PG,14018.75,
ERDF,,2013,Jt & DM Timber Ltd,Jt & DM Timber Ltd PG,18370.43,
ERDF,,2013,Kenny Plant Hire,Kenny Plant/BE,9275,
ERDF,,2013,LKWS Teo,LKWS Teo BEG,6000,
ERDF,,2013,Perelino Ltd,Perelino Ltd PG,7500,
ERDF,,2013,Reascal Resources,Rascal Resources FIG,2437.86,
ERDF,,2013,Ryszard Ziarnowski,Ryszard Ziarnowski PG,7500,
ERDF,,2013,Sinead Thornton,Sinead Thornton PG,3750,
ERDF,,2013,Westmeath County Enterprise Board,Individual Training M2,1907.5,
ERDF,,2012,Aines Chocolates Ltd,Aines Chocolates/BE/2012/10,14216,
ERDF,,2012,BK Technology,BK Technology/FIG/M1/2012/03,5518,
ERDF,,2012,Cavan CEB,M2/2012/Women in Business Initiatives 2012,400,
ERDF,,2012,Cavan CEB,Website Support scheme 2012,8627.98,
ERDF,,2012,Cavan CEB,Website Marketing & Optimisation course 2012,7001.8,
ERDF,,2012,Cavan CEB,SHOP 2012,4830.77,
ERDF,,2012,Cavan CEB,Presentation skills course 2012,758.84,
ERDF,,2012,Cavan CEB,M2/2012/Managing Finance & Tax Course 2012,1849.5,
ERDF,,2012,Cavan CEB,M2/2012/Innov & Competitiveness Prog 2012,9761.33,
ERDF,,2012,Cavan CEB,M2/2012/How to tender for contracts course 2012,3550.55,
ERDF,,2012,Cavan CEB,M2/2012/How to Market your business Effectively courses 2012,1983.25,
ERDF,,2012,Cavan CEB,M2/2012/How to write a business plan course 2012,2223.1,
ERDF,,2012,Cavan CEB,M2/2012/Figuring out your pricing strategy courses 2012,1532.31,
ERDF,,2012,Cavan CEB,M2/2012/Facebook for Business Courses 2012,6700.25,
ERDF,,2012,Cavan CEB,M2/2012/Customer Service workshops 2012,965.22,
ERDF,,2012,Cavan CEB,M2/2012/Bookkeeping for Startups 2012,3767.33,
ERDF,,2012,Cavan CEB,M2/2012/Using Social Media for Small Business 2012,19007.27,
ERDF,,2012,Cavan CEB,M2/2012/Tradeshow Exhib supports 2012,243.5,
ERDF,,2012,Cavan CEB,M2/2012/SYOB Step Forward Seminar,1189.8,
ERDF,,2012,Cavan CEB,M2/2012/Student Enterprise initiatives 2012,34011.47,
ERDF,,2012,Cavan CEB,M2/2012/Start your own Business courses 2012,48496.15,
ERDF,,2012,Cavan CEB,M2/2012/National Enterprise Awards,5540.82,
ERDF,,2012,Cavan CEB,M2/2012/Mentoring 2012,30047.04,
ERDF,,2012,Cavan CEB,M2/2012/Advertising 2012,12259.17,
ERDF,,2012,Cavan CEB,M2/2012/Accelerate Mgmt Devel Prog 2012,27716.8,
ERDF,,2012,Cavan CEB,CCEB Admin BA 2012,49213.54,
ERDF,,2012,Cavan CEB,M2/2014/Competitiveness & Innovation programme,2295,
ERDF,,2012,Cavan CEB,M2/2013/Women in Business Initiatives 2013,26222.6,
ERDF,,2012,Cavan CEB,M2/2013/Website Support Scheme 2013,17623,
ERDF,,2012,Cavan CEB,M2/2013/Using social media for small business Advan,3372.4,
ERDF,,2012,Cavan CEB,M2/2013/Tips on promoting & marketing yourbusiness,2388.91,
ERDF,,2012,Cavan CEB,M2/2013/Start your own business courses 2013,37087.23,
ERDF,,2012,Cavan CEB,M2/2013/Advertising 2013,13961.28,
ERDF,,2012,Cavan CEB,M2/2013/How to win tenders courses 2013,1336.75,
ERDF,,2012,Cavan CEB,M2/2013/Introd to VAT Courses 2013,1870.63,
ERDF,,2012,Cavan CEB,M2/2013/Mentoring,34900.04,
ERDF,,2012,Cavan CEB,M2/2013/Pre-enterprise Workshops,1308.3,
ERDF,,2012,Cavan CEB,M2/2013/Pricing&Costing courses 2013,679.08,
ERDF,,2012,Cavan CEB,M2/2013/SAGE computerised accounts courses 2013,11273.98,
ERDF,,2012,Cavan CEB,M2/2013/Re-energise your Business Course 2013,8184.4,
ERDF,,2012,Cedrarock Ltd,Cedarock/FEAS/2012/20,8000,
ERDF,,2012,CG Power Systems Ireland Ltd,CG Power Systems Ireland Ltd,101196.75,
ERDF,,2012,Davina Lynch Millinery,DavinaLynch/BE/2012/17,1367,
ERDF,,2012,Dermot Martin T/a Flowers to Remember,Dermot Martin T/a Flowerstoremember/PRIM/2012/04,7393,
ERDF,,2012,First Safety Management Ltd,First Safety/FIG/2012/15,7200,
ERDF,,2012,Galetech Energy Devel Ltd,Galetech Energy/BE/2012/08,30000,
ERDF,,2012,Hand Clean Devices Ltd,Hand Clean Devices/FIG/2012/06,12000,
ERDF,,2012,John Brick,John Brick/FEAS/2012/19,2685,
ERDF,,2012,Lakeland Dairies Co-Op Society Ltd,Lakeland Dairies Co-Op Society Ltd,120210,
ERDF,,2012,McKiernans Boxty,McKiernan Boxty/PRIM/2012/13,4417,
ERDF,,2012,Megajam Ltd t/a Morans Homestore,Morans Megajam/BE/2012/12,12334,
ERDF,,2012,Nutrisnax Ltd,Nutrisnax/BE/2012/09,4404,
ERDF,,2012,Tony Riley,Tony Riley /FEAS/2012/18,7917,
ERDF,,2012,Vector Workplace and Facility Management Ltd,Liffey Meats (Cavan),443845.86,
ERDF,,2012,Webreach Ltd,Webreach/FEAS/2012/07,1083,
ERDF,,2012,Ards friary Retreat and Conference Centre,Ards friary Retreat and Conference Centre,122342.68,
ERDF,,2012,Atlantic Marine Supplies,Atlantic Marine Supplies/BE,26914.8,
ERDF,,2012,Atlantic Weave Ltd,Atlantic Weave Ltd/BE,65587,
ERDF,,2012,Bizzprint Ltd,Bizzprint Ltd/BE,33899,
ERDF,,2012,Cuan Tamhnaigh Teoranta,Cuan Tamhnaigh Teoranta,173009.76,
ERDF,,2012,,,0,
ERDF,,2012,Diaga Ltd,Diaga Ltd /P,16000,
ERDF,,2012,Discovery Programme,Discovery Programme/M2,75506.07,
ERDF,,2012,Eointec Solutions,Eointec Solutions Bus/Exp,10000,
ERDF,,2012,Irish Building Energy Rating,Irish Building Energy Rating,19346.08,
ERDF,,2012,Junk Kouture Ltd,Junk Kouture Ltd,31870.74,
ERDF,,2012,Lagan Engineering Ltd,Lagan Valley Engineering Ltd /P,24000,
ERDF,,2012,Largo Food Exports Ltd,Largo Food Exports Ltd,81918,
ERDF,,2012,Lone Star State,Lone Star State/P,4822.6,
ERDF,,2012,Long Roulston Ltd,Long Roulston Ltd T/A WDL /BE,40000,
ERDF,,2012,Management Development Training,Management Development Training M2,65002.91,
ERDF,,2012,Natural Foods Ltd,Natural Foods Ltd/BE,25000,
ERDF,,2012,Northwest Labels Ltd,Northwest Labels Ltd/BE,16000,
ERDF,,2012,Sector Initiative Donegal Designer Makers,Sector Initiative M2,29293,
ERDF,,2012,Shining Stars Creche,Shining Stars Creche/p,12338.49,
ERDF,,2012,Welditz Ltd,Welditz Ltd/BE,9942.19,
ERDF,,2012,Wiseloads Software Ltd,Wiseloads Software Ltd/BE,19500,
ERDF,,2012,Alliance Francaise Galway Ltd,Alliance Francaise Galway Ltd/Business Expansion,5000,
ERDF,,2012,Alstrong Fabrication Ltd,Alstrong Fabrication Ltd/Priming,2195,
ERDF,,2012,Armour Interactive Ltd,Armour Interactive Ltd/Business Expansion,2750,
ERDF,,2012,Athenry Precision Ltd,Athenry Precision Ltd/Business Expansion,43294.12,
ERDF,,2012,Cathal Curtin,Cathal Curtin/Feasibility,3600,
ERDF,,2012,Celtic Couture,Celtic Couture/Priming,5000,
ERDF,,2012,Celtic Couture Limited,Celtic Couture Limited/Priming,6688,
ERDF,,2012,Curry & Spice,Curry & Spice/Busines Expansion,15780,
ERDF,,2012,Dunnes Stores,Dunnes Stores,151786.9,
ERDF,,2012,Foca Organics,Foca Organic/Business Expansion,5500,
ERDF,,2012,Galway Cartirdge Ltd,Galway Cartirdge Ltd/Business Expansion,11686,
ERDF,,2012,Galway CEB,Galway Science & Technology Festival 2012,20000,
ERDF,,2012,Galway CEB,Export Grants 2012/M2,8697.53,
ERDF,,2012,Galway CEB,Mentoring 2012/M2,48549.44,
ERDF,,2012,Galway CEB,Networking 2012/M2,23333.34,
ERDF,,2012,Galway CEB,Meet West 2012/M2,12234.46,
ERDF,,2012,Galway CEB,Jaroslaw Kwasik Jewellery Training 2013/M2,2050,
ERDF,,2012,Galway CEB,Women in Business 2013,4759.9,
ERDF,,2012,Galway CEB,Fashion Innovation Awards 2012/M2,10000,
ERDF,,2012,Galway CEB,Student Enterprise Awards 2012/M2,6395.12,
ERDF,,2012,Galway CEB,Business Information Centre 2012/M2,13868.14,
ERDF,,2012,Galway CEB,Miscellaneous Special Events 2012/M2,8140,
ERDF,,2012,Galway CEB,National Womens Enterprise Day 2012/M2,100,
ERDF,,2012,Galway CEB,Craft & Food Fair 2012/M2,18898.51,
ERDF,,2012,Galway CEB,SME Week 2012/M2,13584.85,
ERDF,,2012,Galway CEB,Training 2012,23362.33,
ERDF,,2012,Gilltech Engineering Ltd,Gilltech Engineering Ltd/Business Expansion,27250,
ERDF,,2012,Gilltech Engineering Ltd,Gilltech Engineering Ltd/Business Expansion,20750,
ERDF,,2012,Head 2 Head Sports Ltd,Head 2 Head Sports Ltd/Business Expansion,37000,
ERDF,,2012,Hillwalk Tours,Hillwalk Tours Ltd/Business Expansion,26250,
ERDF,,2012,Jaroslaw Kwasik,Jaroslaw Kwasik/Priming,7230,
ERDF,,2012,K Steel Ltd,K Steel Ltd/Business Expansion,26418,
ERDF,,2012,Lifestyle Sports (Ireland) Ltd,Stafford Fuels Limited,45081.91,
ERDF,,2012,NGS Agri Ltd,NGS Agri Ltd/Business Expansion,13000,
ERDF,,2012,Proof Design Studio,Proof Design Studio/Feasibility,6000,
ERDF,,2012,Radfix Auto Radiators,Radfix Auto Radiators/ Business Expansion,3001,
ERDF,,2012,Seiribhisi Cartalnnaiochta sna Meain Nua,Seiribhisi Cartalnnaiochta sna Meain Nua/Business Expansion,5908,
ERDF,,2012,Senior Enterprise 2012,Senior Enterprise 2012/M2,2080,
ERDF,,2012,Solaris Botanicals Limited,Solaris Botanicals Limited/Business Expansion,2750,
ERDF,,2012,Superquinn Ltd,Superquinn Ltd,29267.53,
ERDF,,2012,The Memoir Writing Club,The Memoir Writing Club/Business Expansion,2117,
ERDF,,2012,UK School Trips Ltd,UK School Trips Ltd/Priming,23666,
ERDF,,2012,Uncle Matts Farm,Uncle Matts Farm/Business Expansion,8418,
ERDF,,2012,Walsh’s Confectionery Limited,Walsh’s Confectionery Limited/Business Expansion,14101,
ERDF,,2012,Ward Nurseries,Ward Nurseries/Business Expansion,10000,
ERDF,,2012,Woodfarm Fencing Supplies Limited,Woodfarm Fencing Supplies Limited/Business Expansion,57500,
ERDF,,2012,Ingersoll-Rand International Ltd,Ingersoll-Rand International Ltd,57940.25,
ERDF,,2012,AE Risk Control Ltd.,AE Risk Control Ltd – Priming Grant,37232,
ERDF,,2012,Denis Dooley,Farmsafe Ltd – Feasibility Study Grant,16133,
ERDF,,2012,ETS Printers Ltd,ETS Printers – BEG,50000,
ERDF,,2012,Laois CEB,Assertiveness & Communications M2,1825.79,
ERDF,,2012,Laois CEB,Managing stress in a business 2012 M2,1700,
ERDF,,2012,Laois CEB,Lets talk numbers 2012 M2,350,
ERDF,,2012,Laois CEB,Marketing on a Shoestring M2,1200,
ERDF,,2012,Laois CEB,Computers for Vintners 2012 M2,1320,
ERDF,,2012,Laois CEB,Effective Selling for the SME M2,5520,
ERDF,,2012,Laois CEB,Effective Time Management M2,1504.67,
ERDF,,2012,Laois CEB,Online Marketing M2,5862.18,
ERDF,,2012,Laois CEB,Social Media for SME M2,5582.35,
ERDF,,2012,Laois CEB,Costing & Pricing M2,1530,
ERDF,,2012,Laois CEB,Marketing Tips for the SME M2,4720.86,
ERDF,,2012,Laois CEB,HR for the SME 2012 M2,1396,
ERDF,,2012,Laois CEB,Driving Your own PR Campaign 2012 M2,1200,
ERDF,,2012,Laois CEB,How to create that winning tender M2,2610,
ERDF,,2012,Laois CEB,Employment Law 2012 M2,1396,
ERDF,,2012,Laois CEB,Autumn Seminars 2012 M2,2396,
ERDF,,2012,Laois CEB,National Enterprise Awards M2,6250,
ERDF,,2012,Laois CEB,Taxation for the SME M2,1000,
ERDF,,2012,Laois CEB,Making the most of your website – M2,1495,
ERDF,,2012,Laois CEB,Start Your Own Business M2,49666.3,
ERDF,,2012,Laois CEB,Enterprise Week Measure 2,23448.21,
ERDF,,2012,Laois CEB,Student Enterprise Awards 2012 Measure 2,8166.35,
ERDF,,2012,Laois CEB,Mentoring 2012 M2,25669.09,
ERDF,,2012,Ovisafe Limited,Ovisafe Ltd FSG,12500,
ERDF,,2012,Playchiumes Ireland Ltd,Playchimes Irl Ltd Priming Grant,675,
ERDF,,2012,SK Kindling Products,SK Kindling Products- PG,19029,
ERDF,,2012,Alan Fitzgerald,Alan Fitzgerald Playhouse Factory/BP,3500,
ERDF,,2012,Aliceway Ltd T/a Bandit Films,Aliceway Ltd T/A Bandit Films/FIG,9894,
ERDF,,2012,Andelise Curtains,Andelise Curtains/BE,3210,
ERDF,,2012,Brady Insurance T/A Event Insure,Brady Insurance T/A Event Insure/BE,12716,
ERDF,,2012,Daniel Beck,Fit Kids/BP,7000,
ERDF,,2012,Janey Pictures,Janey Pictures/BE,1876,
ERDF,,2012,Leitrim CEB,SYOB 2012 (M2),25179.65,
ERDF,,2012,Leitrim CEB,Business Advisor 2012,54672.28,
