project_ref_code,project_title,beneficiary,project_cost,ministry,start_date,end_date,project_description,operational_programme,fund_acronym,operational_objective,priority_axis,focus_area,project_objectives,project_results,project_purpose
CF 117,Improvement of the TEN-T Road Infrastructure (PHASE I),Transport Malta,49600769,"Ministry for Transport, Infrastructure and Capital Projects",2009,2015,"The project has reconstructed and upgraded five sections of the Trans-European Network - Transport (TEN-T) road network in Malta. These five projects are of strategic importance and have improved the main road network links to the Air Passenger Temrinal at gudja, The Sea Passenger terminal and Ro-Ro Terminal at in the Grand Habour, the tourist areas in the northern part of Malta, access to the internal seaports at Cirkewwa and the continuation of the main link road from Mgarr Ferry Terminal and Victoria, Gozo's capital city.",OPI Investing in Competitiveness for a Better Quality of Life CF,Cohesion Fund,To improve journey-time reliability and road safety through upgrades to parts of the TEN-T road infrastructure;,PA3 Developing the TEN T,OPIPA3 Road Transport Links,The TEN-T network in Malta comprises of 51km of highway forming the main north-south transport corridor. The feasibility studies undertaken concluded that all 51km required reconstruction to bring them up to standard. To date 8.8km were reconstructed through the assistance from the 2004-2006 EU Cohesion Fund and European Regional Development Fund. A further 3km have been reconstructed from local funds 1999 to 2002. The 5 sections of this project will reconstruct an additional 12km of road.,"Through the upgrading of the 5 sections of roads indicated above, it is the Government's resolve to make the best from the development of international gateways and national transport systems which will be primarily done through the upgrading of the road network with a view to increasing the connectivity of Malta and improve the backbone transport infrastructure with a view to enhancing competitiveness and improving the quality of life of citizens and visitors. Strategic connectivity between the main towns and the road links leading to the island of Gozo, is vital in creating a knowledge-based economy whereby transport connectivity is an essential asset in successful areas. Reduced journey time enhances productivity and competitiveness particularly in an economy that is highly dependent on service sectors such as tourism. The selected projects are all located on the strategic route that links the airport and the cruise liner terminal with the tourist centres in Malta and Gozo and will facilitate the movement of tourists around the islands.","The main beneficiaries of the investment in the TEN-T road network infrastructure are local citizens, tourists and the business community in view of the fact that more efficient road networks will result in enhanced business performance, particularly in the transportation of goods and people."
CF120,National Flood Relief Project (NFRP),"Ministry for Transport, Infrastructure and Capital Projects",51664271,"Ministry for Transport, Infrastructure and Capital Projects",2013,2015,"The NFRP involved the construction of a network of underground tunnels, canals and bridges, to provide a better storm water drainage infrastructure for the worst-hit areas which will be capable of handling a storm up to a return period of 5-years.",OPI Investing in Competitiveness for a Better Quality of Life CF,Cohesion Fund,"To develop infrastructure to minimise the destructive effects of storm water and reduce the incidence of flash-flooding, as well as, develop storm water catchment and re-use facilities.",PA4 Mitigation and Adaptation to Climate Change,OPIPA4 Flood Relief,"The National Flood Relief Project (NFRP) aims to target the flooding problem in Malta and involves the construction of a network of underground tunnels, canals and bridges, to provide a better storm water drainage infrastructure for the worst-hit areas.","By the year 2015, the NFRP aims to substantially improve the physical storm water infrastructural shortcomings and will provide better preparedness and would mitigate against the likely impacts of climate change on the most vulnerable areas in eleven localities in four different basins. ","Flash flood events in Malta involve directly and indirectly all economic, productive and life sectors of the Maltese Island. In general, even if the problem is more acute in certain areas of the island such as the Birkirkara, Msida, Gzira, Marsa and Marsascala catchment areas, the effects spread on all surrounding country engaging indirectly almost all Maltese population (circa. 410,000 residents).The NFRP tackles four different catchments namely the Birkirkara-Msida, Gzira, Qormi-Marsa and Marsascala basins, wherein are found the nine worst-hit localities, namely Msida, Birkirkara, Balzan, Gzira, Qormi, Marsa, Zebbug, Marsascala and Zabbar. These areas are identified among the top priority areas in the Storm Water Master Plan and also represent the areas where the majority of damages occurred in the last major storm that hit the Maltese Islands in September 2003. The NFRP will address flooding problems holistically at a catchment level, and also regionally by managing runoff across catchments. The proposals go beyond the local-problem focus; they address the interconnections between problems in different localities and also seek to connect drainage solutions of adjacent basins together, to achieve greater cost-effectiveness and hydraulic efficiency, while also optimising the scope for future water conservation. The NFRP also addresses the institutional dimension of the problem by including measures to strengthen the existing planning, management and maintenance responsibilities into an identifiable and more formal organisation. It is envisaged that through the implementation of the NFRP a turning point will be brought about in storm water management in the Maltese Islands, at the functional infrastructure level and in the operation and maintenance of the new system."
ERDF 140,Discovering Cultural & Religious Tourism in Gozo,Ta’ Pinu National Shrine,317881,N/A,2009,2014,This project has carried out restoration to religious works of art by Joseph Briffa and place them on display for public viewing at the Fine Arts Museum within the Ta’ Pinu National Shrine complex and has also carried out restoration and conservation works to the residence of Karmni Grima.,OPI Investing in Competitiveness for a Better Quality of Life ERDF,European Regional Development Fund,To support the upgrading of the tourism product;,PA2 Promoting Sustainable Tourism,OPIPA2 Product Development,"Through this project, religious works of art of artist Joseph Briffa will be restored and placed for public viewing at the arts museum which already hosts the paintings of artist Emvin Cremona. The project will also help restore and convert into a religious museum the residence of Karmni Grima, the lady who heard the call from the Blessed Virgin.","As a result of the implementation of this project:1) it is estimated that once the residence of Karmni Grima is restored and turned into a museum, 26% of the tourists visiting the Sanctuary of Ta Pinu will also pay a visit to the museum in its first years of operations;2) One person will be employed to oversee the museum","This project should improve the tourist product on the Maltese Islands. As a result tourist operators in Gozo will most get a direct benefit from this, namely hotels and other self-catering accommodation establishments, restaurants, operators of car-hire and other transport services. Likewise their employees will also get a benefit as they will have a more secure job and could increase their earnings. In this context, the Ta’ Pinu National Shrine management intends to employ two persons on full-time as an attendant and operator at the Karmni Grima museum which is to be re-opened as a result of this project."
ESF  1.25,Strategic Educational Pathways Scholarship (STEPS),Directorate for Lifelong Learning,8982082,Ministry for Education and Employment,2008,2015,The Strategic Educational Pathways Scholarships (STEPS) scheme offered post-graduate bursaries at Masters and Doctoral level for fields of studies in areas of national priority.,OPII Empowering People for More Jobs and a Better Quality of Life ESF,European Social Fund,To increase student participation in general fields of study at a further or higher level of education.,PA1 Improving Education and Skills,OPIIPA1 Investing in the Education System,"The key objectives of STEPS are to: assist exceptional students to pursue further levels of academic research; encourage more student participation at a postgraduate level of academic research, both locally and internationally; improve the quality and relevance of the education system; reduce skills mismatches particularly within higher value added and expanding economic sectors; support further research in science and technology; and increase the capacity and level of research, innovation and development activity in Malta.","The scholarships will support Masters and Doctoral programmes in S&T and non S&T and will address the four focus areas identified in the OPII and the related operational objectives. The scheme could result in over 450 graduates by the end of 2013, assuming a number of students fail to obtain a pass rate or the schemes are undersubscribed.","The specific objectives of the STEPS programme are as follows:1. boost Malta’s capacity to reach the EU target of 3% of expenditure on R&D by substantially boosting the number of students following Masters and Doctoral degrees and undertake or engage in research activity in specific areas of national priority through scholarship schemes;2. boost the quality of education services by providing persons the chance of high specialisation and be able to participate in the development of better educational services (teaching, administration, new fields of study, etc.) in the future;3. boost the capacity of educational services by assisting more people to specialise particularly in those areas where too few or no specialist teaching, support or administrative staff exist today;4. provide specific economic sectors with highly specialised expertise which may be critical for the development of entirely new areas of economic activity or for the further expansion/development of high growth segments;5. provide Malta with a critical mass of researchers in Science and Technology for further development of national R&D and innovation activity. All the above objectives are achieved by helping targeted scholars with excellent academic merit on the basis of their qualifications, experience and research proposals, to continue studying at a higher level. Finally, the targeted areas of priority (education entities or different economic sectors), benefit on graduation of such scholars as these become engaged in the various occupations which require this expertise and specialist research activity."
CF 123,Setting up of the Gozo Waste Transfer and Material Recovery Facility,WasteServ Malta Ltd.,7475587,"Ministry for Sustainable Development, the Environment and Climate Change",2009,2015,"The project mainly comprises of a controlled facility for the reception, sorting, processing, interim storage and transfer of wastes originating from Gozo and Comino. The dry recyclables are now being sorted and bailed prior to further treatment or export. The Municipal Solid Waste (MSW) will be separated into three fractions; the organic fraction which shall be diverted for biological treatment, Refuse Derived Fuel (RDF) and rejects.",OPI Investing in Competitiveness for a Better Quality of Life CF,Cohesion Fund,"To minimise landfilling of waste and to rehabilitate disused landfills, as well as, increase the capacity for waste treatment for energy recovery and recycling purposes;",PA5 Safeguarding the Environment,OPIPA5 Solid Waste,"The general objective of this project is to provide a Waste Transfer and Material Recovery Facility for Gozo (1) to reduce the nuisances of waste being transported from Gozo to Malta for disposal and (2) to reduce the amount of recyclable waste being disposed at landfill in Malta.The specific objectives include:Reducing material directed to landfill as per Waste Management Regulations LN168 of 2002;Drastically reducing transport needs and nuisances in transportation of wastes between Malta and Gozo thus contributing positively towards reducing the carbon footprint and also reducing transport costs;Catering for dry recyclables (plastics, paper and cardboard, glass and metals) coming from the adjacent Gozo CA site, Bring-In sites and also materials from the Grey Bag Scheme; Application of the principle of proximity and self sufficiency Reducing the disamenities of waste management to Gozo residents by closing down the Qortin site and developing a site with limited disamenities at Tal-Kus","The direct results of this project include the following:i) Recovery of 2,900 tonnes of recyclable waste per annum from Gozo.ii) A total saving of 23,053km per yeariii) A compaction rate of 10%.",N/A
CF 260,Refurbishment and Upgrading of Deep Water Quay,Transport Malta,13356192,Ministry for Transport and Infrastructure,2012,2015,"The project entailed the refurbishment and upgrading of the Deep Water Quay and generally including the: refurbishment of existing piles and construction of new ones; refurbishment of the steel grillage system supporting the deck structure; construction of the cope beam along Berths 1-4, construction of wave attenuation system and the reconstruction and/or refurbishment of various areas of the deck.",OPI Investing in Competitiveness for a Better Quality of Life CF,Cohesion Fund,To improve maritime accessibility (also inter-island) by upgrading TEN-T ports and related infrastructure.,PA3 Developing the TEN T,OPIPA3 Maritime Transport Links,"The overall objective of this project is to refurbish and strengthen the maritime infrastructure located at DWQ in order to reinstate and increase the capacity of its two main berths (1/2 and 3/4) and to safeguard the related maritime economic activities that take place within the port of Valletta, wherein this quay is located.","The refurbishment and upgrading of Deep Water Quay will result in:• No. of operational general cargo berths in the Port of Valletta: 4 berths• Increase of displacement capacity of DWQ berths to handle ships of: 40,000 Tonnes• Increase of DWQ deck loading capacity at Areas A and D to: 5 Metric Tonnes/sq.m• Increase of DWQ deck loading capacity in Area B to: 4 Metric Tonnes/sq.m• Increase in satisfaction rate of transport operators/port users (amount to be determined through customer satisfaction surveys to be carried out both before – baseline - and after completion of the project) 10%• Increase in cargo per annum (based on 2004 TEU baseline tonnage of 878,726 for the port of Valletta)",
CF 266,Extending Waste Separation and Collection Services in the Maltese Islands,WasteServ Malta Ltd.,2917399,"Ministry for Sustainable Development, the Environment and Climate Change",2012,2015,This project complemented the ERDF22 project financed from EU Programming Period 2004-2006. The aim was to improve the waste separation infrastructure in the Maltese Islands to attain higher recovery and recycling rates in accordance with EU legislation.,OPI Investing in Competitiveness for a Better Quality of Life CF,Cohesion Fund,"To minimise landfilling of waste and to rehabilitate disused landfills, as well as, increase the capacity for waste treatment for energy recovery and recycling purposes;",PA5 Safeguarding the Environment,OPIPA5 Solid Waste,"The overall objectives of this project include the following:1) Improve the waste separation system in the Maltese Islands with the installation of additional infrastructure so as to achieve higher capture rates. (The new CA Site is estimated to receive approximately 4,760 tonnes of additional waste per year;2) Consolidate the level of conformity with the relevant waste management legislation, in particular with the Directive 2008/98/EC on Waste, the Landfill Regulations L.N. 168 of 2002 and the Packaging and Packaging Waste Regulations L.N. 277 of 2006;3) Fulfil the relevant principles established in the ‘Solid Waste Management Strategy for the Maltese Islands’ in terms of the waste hierarchy, the proximity principle, and sustainability. The waste hierarchy states that when the waste is created, priority is given to preparation for reuse, then recycling and recovery before disposal which is the least favoured option of all. The proximity principle determines that waste should be treated or disposed of as close as possible to the point where it arises. The sustainability principle stipulates that waste should be managed in a way that does not compromise the ability of future generations to meet their own needs, which obviously translates into the necessity of waste minimisation;4) Ensure protection of the environment to secure a better quality of life for the present and future generations.","1)Provide treatment for approximately 1,300 tonnes of glass which is recovered annually;2) Enable the compaction of approximately 8,689 tonnes of waste collected at CA sites (landfill, wood and green waste) to improve the capacity of these facilities;3) Increase the aggregate waste collection at CA sites to 24.5%. In 2009, 19,434 tonnes of waste was collected at the existing CA sites. The Ta’ Qali CA site is expected to accept approximately 4,760 tonnes of waste annually; Good participation rate can be achieved by informing the public about the existence of the site, its function and proper use. Informative leaflets can will be distributed to the residents living in the surrounding villages. Discussions can be carried out with the local councils so that these may also assist in the dissemination of information. 4) Recover good quality compost from 650 tonnes p.a. of green waste which is generated at Pitkalija.",
ERDF 062,Language Lab with Contact Centre facility at MCAST Institute of Business and Commerce,"Malta College of Arts, Science and Technology ",275397,Ministry for Education and Employment,2008,2010,The project involved the setting up of a 'Language Laboratory' training facility within the Institute of Business and Commerce as well as contact training facilities. The scope being the teaching of languages and contact centre skills post secondary students.,OPI Investing in Competitiveness for a Better Quality of Life ERDF,European Regional Development Fund,,PA6 Urban Regeneration and Improving the Quality of Life,"OPIPA6 Education, Social and Health-related Infrastructure","The overall objectives of the project are: 1) to ensure that Malta and Gozo are developed into centres of vocational excellence in the teaching and learning of languages for specific purposes and in particular to turn MCAST into a leading vocational institution and to enhance and increase the range of courses and the overall capacity and quality of facilities available to students thus offering a better educational experience, host an ever increasing student population due to higher participation rates in the lower and higher levels of specialisation, contributing also towards the Lisbon Agenda. 2) To support Malta's efforts in investing in human capital competent in understanding and speaking foreign languages, thus improving Malta's attractiveness for foreign and indigenous investment and the quality of life of the people. This is achieved by further investing in more and better educational resources. 3) To address Gozo's regional distinctiveness by enhancing the education and training resources, thus offering equal opportunties to Gozitans in Malta. The facility will improve accesibility to education, particulary language competences and skills and to promote knowledge human capital.","1) The project will enable MCAST to produce the sort of skilled and highely competent presonnel required to take the sector forward and ensure that the appropriate communication skills, knowledge and competencies are in place for future expansion. 2) MCAST will be in a better position to train in the spoken languages Contact Centre operators for both inbound and outbound Contact Centres ( including related Cutomer Service operation at both micro and macro levels). MCAST will also be in a position to train Contact Centre Supervisors and Managers that will be essential if Malta is to be self-reliant and will not have to bring in expertise from overseas. 3) It is critically important for MCAST to have the Language Laboratory facilities in order to create a real working environment and also to be in a position to have live traffic flowing through the facility to ensure proper and effective vocational education and training. 4) The project (combination of Language Laboratory and Contact Centre facilities) will enable 35 to 45 students between the two sites to undertake training at any one time and some 1,110 students per year to have access to the facilities that would be approximately 1.050 full time and 50 part time.","The purpose of the project is to enable the Business and Commerce Institute and the Gozo Centre to:1) Improve the quality of teaching within the respective areaof study and offer a better educational experience at all levels of education and specialisation;2) Offer higher quality foundation courses to a larger number of of early school leavers thus offering a second chance to more young persons; 3) Upgrade its level 1 to level 4 day courses so as to produce student with the knowledge,skills and language competences that match better the emerging needs of the Maltese and Gozitan economies;4) Re-skill, up-skill and enhance personnel in the use of foreign languages from related sectors; 5) Offer specifically designed stand alone language modules to persons with skills in these fields obtained through informal and non- formal learning routes in line with the Malta Qualifications Council objectives to map informal and non-formal learning acording to nationally agreed competences and design an accreditation/certification process accordingly;6) Enable the College to extend and improve the quality of the portfolio of courses offered by the Business and Commerce Institute (as well as other Institutes) to undergraduate degree level thus offereing a progression route to students with levels 4 and 5 education;7) Enable the College to support and enhance a wider range of courses ranging from foundation, higher managerial level and undergraduate level courses; 8) Improve the quality of life of students by offering an enriched learning environmental and state-of-the-art Language Laboratory facilties with an intrisinc IT related exposure."
ERDF 101,Installation of Renewable Energy Sources at MCAST,Malta College for Arts Science & Technology,464147,Ministry for Education and Employment,2008,2011,The project involved the installation of electrical power generating systems completed with all the necessary associated hardware and monitoring systems on MCAST buildings’ roofs at the College main campus in Paola. These installations were complimented with a wind turbine.,OPI Investing in Competitiveness for a Better Quality of Life ERDF,European Regional Development Fund,To promote the use of RES and energy efficiency and reduction in the use of non-renewable energy sources;,PA4 Mitigation and Adaptation to Climate Change,OPIPA4 Energy,"The overall objective is to support Malta's efforts to come in line with Europe's objectives of limiting its generation of electricity using traditional sources by generating part of MCAST's own power requirements using renewable energy sources , hence decreasing the amount of energy requested from generation utility.","The results are:1. 35,280 of Photovoltaic cells2. One wind turbine generator system",The PV installation is intended to generate 134KW peak electrical power. This is equivalent to an energy generation of 235 MWH/annum. MCAST annual utilisation of energy has an estimated at 1400 MWh. This estimation was based on an extensive sample of actual electricity bills form 2007. Therefore the amount of electrical energy expected to be generated by this project when compared to MCAST's current requirements is 16.8%. Calculation = 235mwh x 100% /1400 MwH.
ERDF 104,Stronger Cottonera Communities - The citizens right to accessibility and mobility,Projects Development and Coordination Unit,7654237,Ministry for Transport and Infrastructure,2008,2015,"This project is based on Urban regeneration principles integrating different aspects mainly; physical, social and economic. This concept applied brings the integration of nodes and the upgrading of inner urban cores.",OPI Investing in Competitiveness for a Better Quality of Life ERDF,European Regional Development Fund,,PA6 Urban Regeneration and Improving the Quality of Life,OPIPA6 Urban Regeneration,Stronger Cottonera Communities which is part of a greater and Integrated Action Plan for the Cottonera Region will be a pilot in the implementation of:1. Make urban and historic sites restoration and conservation sustainable in the long-term2. Enhance socio-economic incentives in the area through public and private sector investment3. Instil a better environment and quality of life through regeneration and embellishment of area to attract more inhabitants and therefore decrease vacancy rates.,"1. The full embellishment of the Dock Number 1 nodes extending from Triq ix-xatt to Triq San Pawl. This is an extension of the Dock No 1 project and is targeting the urban areas in the immediate surroundings of the project to increase the permeability of the project and to increase the economic and social spin off as a result of physical regeneration.2. Bormla Local Council has earmarked the site which is located in St.John's Bastion just off St.Nicholas Street and in front of a residential areas for upgrading. The project includes the installation of new lighting systems, fixing of benches and new paving.3. The proposed project by Agenzija Support is the embellishment of the surrounding area outside Dar Bormla which is one of the residences managed by the agency. The outside area is being redesigned in this new proposal to cater for persons with disabilities and will restructure current parking spaces.","The purpose of this project is to launch an integrated urban regenerated project for Cottonera. The interventions include: enhanced transit areas, the development of the realm through embellishment and the upgrading of social conditions through housing programmes. These projects will strengthen neighbourhoods in the locality and instil sustainable regeneration through better accessibility and mobility."
ERDF 127,ERDF Small Start-up Grant Scheme,Malta Enterprise ,940176,"Ministry for the Economy, Investment and Small Business",2008,2015,"The Small Start-up Grant Scheme aims to increase entrepreneurial activity through the formation of new, high value adding enterprises. Of interest will be business start-ups engaged in areas related to: manufacturing, Information and Communication Tchnology, Research and Development and Innovation, waste treatment and environmental solutions, biotechnology and the production of innovative products and services. Newly created start-up enterprises face higher costs per unit to develop an initial offering and to position themselves in the market. For this reason, beneficiaries are to be granted an aid, set at a co-financing rate of 25%, to cover initial operating costs such as consultancy and advisory services, wages, utilities and rent/leasing.",OPI Investing in Competitiveness for a Better Quality of Life ERDF,European Regional Development Fund,To support the re-structuring process of local industry (including crafts) and its move towards a competitive knowledge economy and promote entrepreneurship;,PA1 Enhancing Knowledge and Innovation,OPIPA1 Aid Schemes to the Manufacturing and Service Industries,"This incentive will support new enterprises by part-financing their initial operational costs. One of the most critical phases encountered by all start-ups is the time lag between the initial investment and the matching of financial inflow generated through sales. Through this aid scheme, the burden of initial operating costs will be part-financed and the enterprise will have a higher probability of survival.","Start-ups often fail as they do not manage to make enough profit that cope operational costs. Wages, rent and utility bills are recurrent costs that need to be faced by new business who often lack a sound financial backing. Operating costs do not allow SMEs to fully utilise the available capital for investments in their business since a portion of the budget needs to be used to pay off these running costs. Through this scheme, beneficiaries will be aided through a reimbursement of 25% of these operational costs. The received reimbursed could eventually be invested, by the beneficiary, in other machinery of assets that would aid the company's processes. This scheme is aimed at innovative start-ups and those operating in the manufacturing sector, ICT, waste treatment and environmental solutions, Research and Development and Innovation and biotechnology. By aiding these high value adding SMEs, the Maltese economy will be able to improve its economy structure and hence be in line with the OPI that aims to stimulate the economies other EU member states. The ERDF Small Start-up Grant scheme output and result indicators are summarised as follows: Output Indicators - 50 start ups will be assisted to set up and grow under the SMall Start up Grant Scheme. This incentive will give start ups a higher probability of survival with the final objective of increasing direct employment; Result indicators - 43 start-ups will remain operational by project closure in 2013. To ensure that the above objectives are achieved of the potential applicants will be guided through info sessions to design a project in line with the respective guideline which addresses the above mentioned objectives. Coupled with the information session and the evaluation criteria for this scheme, the applicants will be assessed in line with the relevant Operational Programme results and indicators.",The purpose of the Small start-up Grant aid scheme is to encourage the growth of newly formed undertakings. Malta relies heavily on the creation of Small and Medium Enterprises as this is the sector that will sustain future employment within the Country. This aid scheme is in line with Malta's National Reform Programme which envisages to encourage the promotion and support of innovative start-ups. The direct benefit to these enterprises benefiting from this incentive will include a grant to cover their operating costs amounting to a maximum of 25% for a maximum period of 24 months. This will assist a number of start ups overcome the financial limitations faced in the first few years from starting up ensuring that the start up succeeds and grows in the future ensuring an increase in employment in the future.
ERDF 130,Research & Development Grant Scheme,Malta Enterprise ,1276190,"Ministry for the Economy, Investment and Small Business",2008,2015,"This ERDF Research and Development Grant scheme is designed to help undertakings meet today’s business challenges by further stimulating their company’s Research and Development performance. This incentive provides grants to enterprises carrying out Industrial Research and Experiential Development activities leading to the development of new or significantly improved products, processes or services. Aid will be given to cover costs related to personnel costs, acquisition of related equipment and machinery, cost of contractual research, technical knowledge and patents, as well as the costs of materials, supplies and similar products that are required for the research project.",OPI Investing in Competitiveness for a Better Quality of Life ERDF,European Regional Development Fund,To support the re-structuring process of local industry (including crafts) and its move towards a competitive knowledge economy and promote entrepreneurship;,PA1 Enhancing Knowledge and Innovation,OPIPA1 Aid Schemes to the Manufacturing and Service Industries,"Through this aid scheme, enterprises will be helped to invest in industrial research and experiential development so as to increase their knowledge to be able to enter new markets through the development of improved products processes and services by assisting them in co-financing of wages or researchers and technicians, in investing in instruments and equipment required for research projects, procuring technical knowledge, patents and materials, supplies and similar products related to research projects.","With regard to the R&D Grant, the results can be summarised below:45 enterprises will be assisted to invest in industry driven research projects increasing national public and private expenditure on R&D. This will assist enterprises develop new high value added products and processes which in turn will increase employment in high value adding jobs. This will result in the Maltese economy becoming more competitive with a slow but effective shift in employment from low value added jobs to higher value added jobs. This will allow Malta to remain competitive in an ever changing globalised economy thereby allowing the current industry to expand and attracting new R&D foreign direct investment to the country. To ensure that the above objectives are achieved each of the potential applicants will be guided through info sessions to design a project in line with the respective guidelines which addresses the above mentioned objectives. Coupled with the information session the evaluation criteria of each scheme as outlined in section 3.12 will assess the applicants in line with the relevant Operational Programme results and indicators.","As stated in Malta’s R&I Policy compiled by the Malta Council for Science and Technology (MCST) “RTDI is not an end in itself but rather a catalyst for developing Malta into a modern, knowledge-based economy”. Through this aid scheme the direct benefit to enterprises will be assistance to invest in industrial research and experiential development so as to increase their competitive advantage over other enterprises in the same industry and possibly be the catalysts of new developments"
ERDF 133,ERDF Energy Grant Scheme,Malta Enterprise ,9908442,"Ministry of Finance, the Economy and Investment",2008,2015,The purpose of this aid scheme is to improve the energy efficiency and environmental emissions as requested in Malta's energy programme. This will be achieved through the increase in the utilisation of RES and energy efficient systems,OPI Investing in Competitiveness for a Better Quality of Life ERDF,European Regional Development Fund,To promote the use of RES and energy efficiency and reduction in the use of non-renewable energy sources;,PA4 Mitigation and Adaptation to Climate Change,OPIPA4 Energy,The overall objectives of the aid scheme will result in improved energy efficiency and increased use of renewable energy sources thereby reducing emissions and the demand on traditional energy sources.,"This aid scheme will assist a total of 200 enterprises (assuming an average investment cost of €50,000) in investing energy efficiency measures and renewable energy solutions. This will result in a number of enterprises investing in energy saving initiatives and renewable solutions resulting in reducing dependency on fossil fuels which in the long term will reduce the negative impact of business in the environment.",The target group is the enterprise sector which includes all enterprises both large and SMEs. The Aid Scheme will contribute towards reducing energy demand of these enterprises and through investments in:
ERDF 200,JEREMIE - Joint European Resources for Micro to Medium Enterprises,Ministry for European Affairs and Implementation of the Electoral Manifesto,12000000,Ministry for European Affairs and Implementation of the Electoral Manifesto,2010,2015,"An initiative of the Commission together with the European Investment Bank Group in order to promote increased access to finance for the development of micro, small and medium-sized enterprises in Malta.",OPI Investing in Competitiveness for a Better Quality of Life ERDF,European Regional Development Fund,"To promote and strengthen high value-added economic activity, including attraction of Foreign Direct Investment through investments in enterprise support infrastructure, including industrial facilities;",PA1 Enhancing Knowledge and Innovation,OPIPA1 Financial Engineering,"JEREMIE, Joint European Resources for Micro to Medium Enterprises is an initiative of the Commission together with the European Investment Bank Group in order to promote increased access to finance the development of micro, small and medium-sized enterprises in Malta.",,"For the programming period 2007-2013 and further up to 31st December 2015, improve access to finance for the development of enterprises in Malta, primarily small and medium enterprises (SMEs) - including micro enterprises as defined in the Commission Recommendation 2003/361/EC, through the use of non-grant instruments such as loans (including micro-loans), venture capital or guarantees promoting and adopting financial engineering approach to be implemented through the establishment of a JEREMIE Holding Fund."
ERDF 226,Peacock Gardens - Cultural Urban Landscapes for Tourism Sustainability,Valletta Local Council,719881,"Ministry for Justice, Culture and Local Government",2011,2015,The regeneration of Peacock Gardens project was aimed at re-launching the City’s Marsamxett Gateway which aimed to attract tourists to this area of the capital city.,OPI Investing in Competitiveness for a Better Quality of Life ERDF,European Regional Development Fund,To support the upgrading of the tourism product;,PA2 Promoting Sustainable Tourism,OPIPA2 Product Development,"The rehabilitation and regeneration of the Peacock Gardens will promote: 1. The revamping of one of the gateaways of Valletta (especially the Sliema/Marsamxett connections to Sliema); 2. The upgrading of a public space and recreational area which is currently underutilised and which will contribute to improve the area in Valletta; 3. Increase the knowledge of tourists visiting the locality and the Maltese islands through the Interpretation Centre which shall provide audio visual and static displays, free of charge; 4. Create the right environment with a view to increase the possibility of generating more economic activity in this area of the capital, especially considering the fact that this garden will act as a transit station between the new bus service and the ferry and will also complement the Museum of Fortifications which is expected to be in close proximity to Peacock Gardens.",1. The creation of one alternative access to Valletta; 2. Valletta Local Council shall launch three cultural events per annum at Peacocks Gardens and same garden shall host events organised during the Notte Bianca event; 3. 2000 metres squared of upgraded recreational activities in Valletta; 4. One new interpretation centre in Valletta promoting the Maltese cultural calender as well as acting as a tourist information point.,
ERDF 228,Green Energy Schools,Private Schools Association,375456,n/a,2011,2014,"The Green Energy Schools (GES) project involved the introduction of RES in twelve Church schools, through the installation of Photovoltaic systems. It also involved the installation of Intelligent Lighting systems in three schools. The objective was to reduce the schools’ dependency and the use of non-renewable energy sources, thus leading by example as educational institutions and catalysts of green energy measures. The project’s activities was publicised through the organisation of a Green Energy School Week, targeting school children, parents and staff members alike.",OPI Investing in Competitiveness for a Better Quality of Life ERDF,European Regional Development Fund,,PA4 Mitigation and Adaptation to Climate Change,OPIPA4 Energy,,"• Each school that will install PVs will have a monitor which will be able to display the PV readings and CO2 equivalent saved. • 5 schools will create awareness about the project and its benefits through their school website • Each project partner (Each school) will participate in the Green Energy Schools week to publicize the GES project• 71 classrooms benefitting from Intelligent lighting • 5,311 students and 800 members of staff will benefit from information in relation to energy efficiency and renewables. Once students are engaged and become more aware on the benefits of RES and EE, a multiplier effect is envisaged to take place with relatives and kin also becoming aware of these benefits which could potentially engage more people to invest in RES/EE.",
ERDF 229,Investing in eco-friendly technology for energy and leading by example,San Gaetano Parish Hamrun,10950,n/a,2011,2013,"The project involved the installation of an eco-friendly photovoltaic panel system on the rooftop of San Gaetano Parish. The project has increased electricity generation from renewable energy sources, has reduced CO2 emissions as well as reliance on imported fuels. In addition to this the project it has promoted the use of RES and energy efficiency systems amongst the community and residents of the locality of Hamrun.",OPI Investing in Competitiveness for a Better Quality of Life ERDF,European Regional Development Fund,To promote the use of RES and energy efficiency and reduction in the use of non-renewable energy sources;,PA4 Mitigation and Adaptation to Climate Change,OPIPA4 Energy,"The following are the objectives envisaged in this proposed project:• Increase electricity generation from Renewable Energy Sources and reducing CO2 emissionsThe main objective of the proposed project is to increase the amount of energy generated in Malta through renewable energy sources. This objective is highly important given the positive impact on the environment by reducing the amount of CO2 emissions generated. In addition, this project will contribute towards reaching Malta’s commitment to reach 10% of the electricity being generated through renewable energy sources by 2020. • Reducing reliance on imported fuels Another objective which will be reached through the project being proposed is the reduction of Malta’s dependence on oil, considering that the country is totally dependent for energy generation. This project will thus lessen the economical and environmental impact that is being imposed on Malta due to this dependency.","The results which emanate following completion of this project are:• 85-90% reduction in the annual energy consumption following the commissioning of the PV system• Widespread awareness of the benefits delivered through RES/EE initiatives through:I. A one-page write-up in the monthly publication ‘Flimkien’, circulated to all households in Hamrun II. Periodical updates on the Church Notice Board with the impact of the PVs on a monthly basis",
